"Table","Vaccine","Serotype","VE_Measure","Age_Range","Vaccine_Status","Cases","Total_Cases"
"Table1","PCV7","PCV7 serotypes + 6A","at least one dose","74 to 729 days","Vaccinated",20,114
"Table1","PCV7","PCV7 serotypes + 6A","at least one dose","74 to 729 days","Unvaccinated",81,141
"Table1","PCV7","PCV7 serotypes + 6A","post primary","74 to 729 days","Vaccinated",1,39
"Table1","PCV7","PCV7 serotypes + 6A","post primary","74 to 729 days","Unvaccinated",49,76
"Table1","PCV7","PCV7 serotypes + 6A","post booster","74 to 729 days","Vaccinated",0,11
"Table1","PCV7","PCV7 serotypes + 6A","post booster","74 to 729 days","Unvaccinated",44,63
"Table1","PCV7","4","at least one dose","74 to 729 days","Vaccinated",0,94
"Table1","PCV7","4","at least one dose","74 to 729 days","Unvaccinated",1,61
"Table1","PCV7","4","post primary","74 to 729 days","Vaccinated",0,38
"Table1","PCV7","4","post primary","74 to 729 days","Unvaccinated",1,28
"Table1","PCV7","4","post booster","74 to 729 days","Vaccinated",0,11
"Table1","PCV7","4","post booster","74 to 729 days","Unvaccinated",1,20
"Table1","PCV7","6B","at least one dose","74 to 729 days","Vaccinated",2,96
"Table1","PCV7","6B","at least one dose","74 to 729 days","Unvaccinated",20,80
"Table1","PCV7","6B","post primary","74 to 729 days","Vaccinated",0,38
"Table1","PCV7","6B","post primary","74 to 729 days","Unvaccinated",15,42
"Table1","PCV7","6B","post booster","74 to 729 days","Vaccinated",0,11
"Table1","PCV7","6B","post booster","74 to 729 days","Unvaccinated",14,33
"Table1","PCV7","9V","at least one dose","74 to 729 days","Vaccinated",0,94
"Table1","PCV7","9V","at least one dose","74 to 729 days","Unvaccinated",4,64
"Table1","PCV7","9V","post primary","74 to 729 days","Vaccinated",0,38
"Table1","PCV7","9V","post primary","74 to 729 days","Unvaccinated",2,29
"Table1","PCV7","9V","post booster","74 to 729 days","Vaccinated",0,11
"Table1","PCV7","9V","post booster","74 to 729 days","Unvaccinated",2,21
"Table1","PCV7","14","at least one dose","74 to 729 days","Vaccinated",2,96
"Table1","PCV7","14","at least one dose","74 to 729 days","Unvaccinated",24,84
"Table1","PCV7","14","post primary","74 to 729 days","Vaccinated",0,38
"Table1","PCV7","14","post primary","74 to 729 days","Unvaccinated",12,39
"Table1","PCV7","14","post booster","74 to 729 days","Vaccinated",0,11
"Table1","PCV7","14","post booster","74 to 729 days","Unvaccinated",15,34
"Table1","PCV7","18C","at least one dose","74 to 729 days","Vaccinated",4,98
"Table1","PCV7","18C","at least one dose","74 to 729 days","Unvaccinated",6,66
"Table1","PCV7","18C","post primary","74 to 729 days","Vaccinated",0,38
"Table1","PCV7","18C","post primary","74 to 729 days","Unvaccinated",3,30
