"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"nckp_andrews - nckp","4",-0.206825993186154,-0.200196801668735,-0.584455111437001,0.130298922798083,0.115083333333333,0.884916666666667
"nckp_andrews - nckp","6B",-0.151722014130632,-0.152266986769466,-0.371277696192974,0.0774407447941423,0.0933333333333333,0.906666666666667
"nckp_andrews - nckp","9V",0.193722384209875,0.173077202094241,-0.217063579577107,0.719233788760206,0.7935,0.2065
"nckp_andrews - nckp","14",-0.1724952226372,-0.172824910495057,-0.398077473993606,0.0553273914626715,0.067,0.933
"nckp_andrews - nckp","18C",0.201169541653239,0.187789248666018,-0.12749759044651,0.598222517756959,0.869,0.131
"nckp_andrews - nckp","19F",-0.327080398214925,-0.323225884903038,-0.607840716980299,-0.0607973265266444,0.00883333333333333,0.991166666666667
"nckp_andrews - nckp","23F",-0.027574980326338,-0.0323936686942479,-0.335094793423456,0.300086714025363,0.420333333333333,0.579666666666667
"nckp_vdl_pcv7 - nckp","4",-0.0384248597961964,0.0096970358155129,-0.808023019510486,0.416803534305078,0.517916666666667,0.482083333333333
"nckp_vdl_pcv7 - nckp","6B",-0.214390443552868,-0.1992872639431,-0.602810598757763,0.0784838538428937,0.085,0.915
"nckp_vdl_pcv7 - nckp","9V",0.263866397139934,0.289919724541329,-0.571674443440329,0.893616157845983,0.823166666666667,0.176833333333333
"nckp_vdl_pcv7 - nckp","14",0.0677365281365708,0.0783951084776532,-0.276189186123288,0.358875550165894,0.6885,0.3115
"nckp_vdl_pcv7 - nckp","18C",0.498391985454061,0.486344221735659,0.102204115520439,0.962561519835588,0.993666666666667,0.00633333333333333
"nckp_vdl_pcv7 - nckp","19F",-0.0524984153973704,-0.0532214039720533,-0.410833297559846,0.30295753517208,0.373333333333333,0.626666666666667
"nckp_vdl_pcv7 - nckp","23F",0.219760254838045,0.216856658967594,-0.160833966533096,0.618349599185751,0.873083333333333,0.126916666666667
