"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"ratio - centered","4",-0.00269045194875084,-0.00428747547353517,-0.307261529324537,0.305159421000994,0.489333333333333,0.510666666666667
"ratio - centered","6B",-0.00278458221928006,-0.00232814154017719,-0.219919861800229,0.213634818724737,0.492416666666667,0.507583333333333
"ratio - centered","9V",0.0163365205245472,0.0139466962083711,-0.556701916521529,0.604903420253122,0.521666666666667,0.478333333333333
"ratio - centered","14",0.00263915623606372,0.0031355599556897,-0.240699967257493,0.244326345771807,0.510916666666667,0.489083333333333
"ratio - centered","18C",0.00857648286179667,0.0085518685455141,-0.429320382095515,0.452432976897318,0.514083333333333,0.485916666666667
"ratio - centered","19F",-0.00409316007256765,-0.00487777399396463,-0.265505767579407,0.25262564749967,0.485166666666667,0.514833333333333
"ratio - centered","23F",0.000180493131418475,0.00169801287141808,-0.356259463466446,0.358216903583015,0.503916666666667,0.496083333333333
"RE - centered","4",0.039428100155068,0.0391617184640087,-0.254181303021915,0.334327894778002,0.601666666666667,0.398333333333333
"RE - centered","6B",-0.0305025260336551,-0.0307992863007061,-0.254061361020602,0.192752768177172,0.392583333333333,0.607416666666667
"RE - centered","9V",0.200266285605538,0.186146109949907,-0.270559647111373,0.748412751493033,0.789416666666667,0.210583333333333
"RE - centered","14",-0.0114239578144439,-0.0110551305357656,-0.249918085907677,0.226811816981488,0.46075,0.53925
"RE - centered","18C",0.106050455698536,0.0964810134381618,-0.26913279113486,0.515686059873773,0.696583333333333,0.303416666666667
"RE - centered","19F",-0.0392107334511498,-0.0391035761293693,-0.299632603366046,0.214684244965423,0.3855,0.6145
"RE - centered","23F",0.0644501157627832,0.0622943734023415,-0.269205524853002,0.407794977744434,0.645333333333333,0.354666666666667
