"parameterization","serotype","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"centered","4",-0.599166589158905,-0.594897046167155,-0.831780462225393,-0.390021373143362,0.551619354271282,0.435273607776916,0.677042403819164,1
"ratio","4",-0.601857041107655,-0.596988902760361,-0.829954814176169,-0.397251369114755,0.55046665175263,0.436068990012929,0.672165042863229,1
"RE","4",-0.559738489003837,-0.55680644938402,-0.76397355133143,-0.37292653261195,0.573036164823396,0.465811817589284,0.688715829138419,1
"centered","6B",-0.381830020107022,-0.380215360131043,-0.541439917140614,-0.232416601965338,0.683714148587255,0.581909747010733,0.792615849194506,1
"ratio","6B",-0.384614602326302,-0.382711885949751,-0.54094247428906,-0.23418592376458,0.682009367463178,0.582199285863179,0.791214696604538,1
"RE","6B",-0.412332546140677,-0.411227066758854,-0.573218466005629,-0.257179603474819,0.662836406397288,0.563708240164244,0.773229326619623,1
"centered","9V",-0.931135335164201,-0.906058678232726,-1.4199452033245,-0.592833584308808,0.404113832040245,0.241727262384485,0.552758774940399,1
"ratio","9V",-0.914798814639654,-0.888777518244531,-1.37845548564816,-0.594445450617737,0.411158078897579,0.251967419973532,0.551868519373334,1
"RE","9V",-0.730869049558663,-0.717264018373971,-1.05607198612482,-0.490711514217125,0.488085824666566,0.347819369847293,0.612190656830212,1
"centered","14",-0.631718158014149,-0.627191188661705,-0.815573298512485,-0.472347521511522,0.534089853785165,0.442385635620905,0.623536782815494,1
"ratio","14",-0.629079001778086,-0.624580368633544,-0.813016228022756,-0.469633873489422,0.535486088137466,0.443518294401835,0.62523114007775,1
"RE","14",-0.643142115828593,-0.639263025538561,-0.817187801778691,-0.493892217248912,0.527681168322987,0.441671978822907,0.610246553598542,1
"centered","18C",-0.895207460665999,-0.878783763002969,-1.2478069495746,-0.628708376079773,0.415287692909083,0.287133805798883,0.533280153767542,1
"ratio","18C",-0.886630977804203,-0.871735842264995,-1.23578092492074,-0.630378314369251,0.418224946258006,0.290607730912899,0.532390351983564,1
"RE","18C",-0.789157004967463,-0.778868655702593,-1.05355771002324,-0.584672876509617,0.458924919808751,0.348694984083267,0.557288134037341,1
"centered","19F",-0.44020378183851,-0.439505968096437,-0.625550448260706,-0.259194169153,0.644354674229344,0.534966875872072,0.771673173369616,1
"ratio","19F",-0.444296941911077,-0.44464917796542,-0.62840087653628,-0.265157388919886,0.641049130748333,0.533444162386375,0.767085209761894,1
"RE","19F",-0.479414515289659,-0.479949905343733,-0.65847343539045,-0.300265202765537,0.618814390323881,0.517640943988948,0.740621779690331,1
"centered","23F",-0.708365004020664,-0.701031270039821,-0.985435676598678,-0.473930329204453,0.496073454218322,0.373276563641325,0.622550624654073,1
"ratio","23F",-0.708184510889246,-0.699156901555345,-0.982154526155374,-0.47884005604025,0.497004150628423,0.374503351741122,0.619501562302101,1
"RE","23F",-0.643914888257881,-0.639566114910266,-0.873091730838157,-0.441094584361613,0.527521258004003,0.417658264098114,0.643331854562408,1
