"analysis_id","predictor_label","serotype","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","1",-0.571292691292796,-0.570061308085592,-0.724155759128342,-0.428257067246149,0.56549076848033,0.484733628199593,0.651643876968488,1
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","1",-0.688480687954757,-0.67843905974995,-1.11550776018669,-0.333913043703477,0.507408408736474,0.327748818840829,0.716116050319484,1
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","3",-0.205420266485442,-0.206047856925011,-0.343800941167847,-0.0592058855397309,0.813794129666357,0.709070060660388,0.942512699443883,0.996083333333333
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","3",-0.489094634124165,-0.488520243642355,-0.821079706501739,-0.158334344336876,0.613533603044569,0.439956374212841,0.853564349848303,0.997666666666667
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","6A",-1.26327632594055,-1.25099429923956,-1.92975527643715,-0.664271012442035,0.286220066935374,0.145183724014688,0.514648563391286,1
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","6A",-1.55455289019193,-1.4157735775371,-3.37607961429252,-0.609364432151081,0.242737764318294,0.0341811958766543,0.543696315183157,1
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","7F",-0.637289544390519,-0.63583163949341,-0.764672526530035,-0.516235272283351,0.529494956243849,0.465486340445049,0.596762974369139,1
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","7F",-0.925056310454555,-0.88540599062136,-1.5310467392711,-0.532135205836141,0.412546649204299,0.216309129513124,0.587349517713076,1
"wisspar_de","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","19A",-0.969481220408566,-0.968450688507339,-1.20578670894153,-0.740992624324654,0.379670811015096,0.299456321854539,0.476640555616002,1
"wisspar_de_vdl_pcv13","WISSPAR NCT00366340 PCV13/PCV7 GMC (Germany)","19A",-0.794523075216587,-0.787666510549234,-1.22074144141357,-0.395180734857657,0.454905073917821,0.295011352180902,0.673558292785114,0.999666666666667
