"analysis_id","predictor_label","serotype","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","1",-0.396415606503826,-0.396007759704399,-0.5019138098448,-0.2933035602985,0.673001473624629,0.605370985416903,0.745795712362569,1
"wisspar_kr_vdl_pcv13","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","1",-0.49366272318802,-0.480001986565404,-0.840005760534933,-0.227229499655246,0.618782162553683,0.431708036552692,0.796737910230686,1
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","3",-0.186387963769089,-0.188406685781621,-0.315269039628508,-0.0506813305768629,0.82827778992719,0.729592558550972,0.950581543543806,0.996083333333333
"wisspar_kr_vdl_pcv13","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","3",-0.432732352650021,-0.4312425342078,-0.741716328111154,-0.13454578442572,0.649701316870372,0.476295733830569,0.874112857205213,0.99725
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","6A",-1.17917117309704,-1.16890088270948,-1.73905413643264,-0.673518572475808,0.3107082584765,0.175686497509386,0.509911257923495,1
"wisspar_kr_vdl_pcv13","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","6A",-1.73883535091448,-1.59935249479353,-3.58652736517792,-0.701035739284662,0.202027289374232,0.0276943359460902,0.496071237149551,1
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","7F",-0.516577174438327,-0.515602500519253,-0.625443894549957,-0.414848454486326,0.597140708626361,0.535023881614857,0.660440359895107,1
"wisspar_kr_vdl_pcv13","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","7F",-0.810508045795115,-0.776577884328247,-1.34463538366556,-0.44770632078503,0.459977416932905,0.260634722214072,0.63909234461262,1
"wisspar_kr","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","19A",-1.81116008980297,-1.78626195583758,-2.47058765777536,-1.28209592473069,0.167585442074481,0.0845351666539723,0.277455165467782,1
"wisspar_kr_vdl_pcv13","WISSPAR NCT00689351 PCV13/PCV7 GMC (South Korea)","19A",-1.32194895587014,-1.28663542500081,-2.31080707356612,-0.536869998812609,0.276198512116302,0.0991811727464652,0.58457511264181,0.99975
