"analysis_id","predictor_label","serotype","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","1",-0.436822698342793,-0.435923405275528,-0.550459279429899,-0.324579811806112,0.646667255338817,0.576684890041383,0.722831014898804,1
"wisspar_tw_vdl_pcv13","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","1",-0.53948197940456,-0.523857482521231,-0.924954353847936,-0.25118699948725,0.592231612949615,0.396549519621553,0.777876895376817,0.999916666666667
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","3",-0.211018786023004,-0.212745112154605,-0.36465469647208,-0.0489745455262587,0.808362152647345,0.694436400821466,0.952205367276544,0.99475
"wisspar_tw_vdl_pcv13","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","3",-0.498371564372238,-0.498044506938177,-0.849185599717688,-0.15452088532474,0.607717886638167,0.427763160569467,0.856825596874387,0.99675
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","6A",-1.50924331130948,-1.49723881604601,-2.23900704967141,-0.866324266173065,0.223747114937134,0.106564264884933,0.420494337331176,1
"wisspar_tw_vdl_pcv13","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","6A",-2.31398049804783,-2.13098558134597,-4.73389397639546,-0.931008326820525,0.118720227730952,0.00879216780118858,0.394156071791809,1
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","7F",-0.589176093982031,-0.587562054045869,-0.717158121946595,-0.472388010882153,0.555680353379531,0.488137513948458,0.623511536714695,1
"wisspar_tw_vdl_pcv13","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","7F",-0.937608581568312,-0.898125165291849,-1.61807392856053,-0.500345737073733,0.407332625643955,0.198280233429082,0.606320995823593,1
"wisspar_tw","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","19A",-3.08283564626227,-2.99796768427646,-4.64228436095357,-2.01486067223777,0.0498883542973686,0.00963566113940531,0.133338979893492,1
"wisspar_tw_vdl_pcv13","WISSPAR NCT00688870 PCV13/PCV7 GMC (Taiwan)","19A",-2.10384732258232,-2.01665990493775,-3.99216071678481,-0.690035551299296,0.133099287736332,0.0184597846306998,0.50155823770207,0.99975
