"contrast","serotype","diff_mean","diff_median","diff_lo","diff_hi","p_gt_0","p_lt_0"
"navajo_andrews - nckp_andrews","4",0.0284204049650017,0.0199302082089055,-0.31008543135716,0.403792642068096,0.549583333333333,0.450416666666667
"navajo_andrews - nckp_andrews","6B",-0.100198531184823,-0.103169092407619,-0.334034245239637,0.150912865309514,0.207916666666667,0.792083333333333
"navajo_andrews - nckp_andrews","9V",-0.0966216100152935,-0.0893814512046144,-0.4537154862469,0.234595159226962,0.283,0.717
"navajo_andrews - nckp_andrews","14",0.0254850127569925,0.0242783683459299,-0.168680516802491,0.223571484459419,0.595416666666667,0.404583333333333
"navajo_andrews - nckp_andrews","18C",-0.0644971202295676,-0.0633260737631638,-0.329983452917425,0.197198574954188,0.312,0.688
"navajo_andrews - nckp_andrews","19F",-0.0952312363088464,-0.0887524162230576,-0.428172991898274,0.214900683689007,0.276,0.724
"navajo_andrews - nckp_andrews","23F",-0.0502273340945064,-0.0499723309637065,-0.318581985941542,0.215959499851106,0.35,0.65
"south_africa_andrews - nckp_andrews","4",0.00572233041266675,0.0029707457506129,-0.390299637979555,0.408445259835434,0.505833333333333,0.494166666666667
"south_africa_andrews - nckp_andrews","6B",-0.0576429048130976,-0.0571708674525858,-0.299833431370278,0.181372365339421,0.316583333333333,0.683416666666667
"south_africa_andrews - nckp_andrews","9V",-0.123303777260343,-0.123683043489252,-0.491885483239179,0.232229932166401,0.241833333333333,0.758166666666667
"south_africa_andrews - nckp_andrews","14",-0.330421889563229,-0.326189542152397,-0.61955017135917,-0.0609381293080974,0.00866666666666667,0.991333333333333
"south_africa_andrews - nckp_andrews","18C",-0.06541775552287,-0.0648704580223788,-0.359990546882243,0.227115386055286,0.328916666666667,0.671083333333333
"south_africa_andrews - nckp_andrews","19F",-0.0387051826046391,-0.0408427692281514,-0.326280359242101,0.270687708817564,0.391083333333333,0.608916666666667
"south_africa_andrews - nckp_andrews","23F",-0.0778769473660055,-0.0769548128680975,-0.369616864229536,0.209661352524299,0.29475,0.70525
"nckp_vdl_pcv7 - nckp_andrews","4",0.168401133389958,0.210050837462169,-0.612266208844272,0.667138731044605,0.78475,0.21525
"nckp_vdl_pcv7 - nckp_andrews","6B",-0.0626684294222359,-0.0493526077607979,-0.446887701189219,0.243439145820598,0.375916666666667,0.624083333333333
"nckp_vdl_pcv7 - nckp_andrews","9V",0.0701440129300594,0.125603852785934,-0.709078106956938,0.513086546875496,0.688416666666667,0.311583333333333
"nckp_vdl_pcv7 - nckp_andrews","14",0.240231750773771,0.251630167796719,-0.0966846311327074,0.514839295217516,0.933916666666667,0.0660833333333333
"nckp_vdl_pcv7 - nckp_andrews","18C",0.297222443800823,0.286365433071263,-0.0328912539060246,0.669458920100059,0.959166666666667,0.0408333333333333
"nckp_vdl_pcv7 - nckp_andrews","19F",0.274581982817555,0.271093882030847,-0.0844006922540528,0.639116277828519,0.9405,0.0595
"nckp_vdl_pcv7 - nckp_andrews","23F",0.247335235164383,0.246011351599956,-0.0940546636634879,0.60209646191516,0.92475,0.07525
"navajo_vdl_pcv7 - nckp_andrews","4",0.132797018886462,0.174873898371449,-0.672650978182832,0.6512229091844,0.7455,0.2545
"navajo_vdl_pcv7 - nckp_andrews","6B",-0.126772157316749,-0.106310164446897,-0.579768986965537,0.206296353862869,0.2725,0.7275
"navajo_vdl_pcv7 - nckp_andrews","9V",0.00775128173902787,0.0737381242033104,-0.863222785691075,0.487156879440068,0.611916666666667,0.388083333333333
"navajo_vdl_pcv7 - nckp_andrews","14",0.236181123980558,0.241658562170845,-0.0855011223518343,0.520238998963914,0.935916666666667,0.0640833333333333
"navajo_vdl_pcv7 - nckp_andrews","18C",0.260396527792461,0.249658324344009,-0.0941553092436387,0.656441986306729,0.922166666666667,0.0778333333333333
"navajo_vdl_pcv7 - nckp_andrews","19F",0.205169313576739,0.208227010263489,-0.213935723926515,0.594655117249431,0.859833333333333,0.140166666666667
"navajo_vdl_pcv7 - nckp_andrews","23F",0.20754596554467,0.208285976070693,-0.163778052805923,0.579658496043772,0.875083333333333,0.124916666666667
"south_africa_vdl_pcv7 - nckp_andrews","4",0.0584983893556068,0.115408570158893,-0.911066518314558,0.635196069552217,0.653166666666667,0.346833333333333
"south_africa_vdl_pcv7 - nckp_andrews","6B",-0.173318778104718,-0.151246473774929,-0.652868796648534,0.178752779102049,0.19175,0.80825
"south_africa_vdl_pcv7 - nckp_andrews","9V",-0.0794309539455662,-0.000810991725734345,-1.06424805854317,0.453613162229602,0.498416666666667,0.501583333333333
"south_africa_vdl_pcv7 - nckp_andrews","14",0.0618351612395181,0.0891964553003399,-0.420047968278453,0.412340368647741,0.65875,0.34125
"south_africa_vdl_pcv7 - nckp_andrews","18C",0.274767075785864,0.267000527198773,-0.103293197588959,0.685180947425884,0.91975,0.08025
"south_africa_vdl_pcv7 - nckp_andrews","19F",0.245203687384452,0.241670282647298,-0.137589124325742,0.644504593941065,0.899166666666667,0.100833333333333
"south_africa_vdl_pcv7 - nckp_andrews","23F",0.192061053764409,0.189001831802355,-0.21329703022968,0.598379427963201,0.841416666666667,0.158583333333333
