"analysis_id","predictor_label","serotype","b1_mean","b1_median","b1_lo","b1_hi","rr_median","rr_lo","rr_hi","p_negative"
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","4",-0.637591448955101,-0.574067634362228,-1.39928908769924,-0.260203515022969,0.563229760148139,0.246772335085968,0.770894681189136,0.998916666666667
"navajo_vdl_pcv7","Navajo / American Indian immunogenicity","4",-0.673195563458597,-0.611374839345394,-1.4599142926558,-0.270471036321273,0.542604362202438,0.232256179937091,0.763019999542305,0.99875
"south_africa_vdl_pcv7","South Africa immunogenicity","4",-0.747494192989452,-0.672340058154755,-1.6994644944117,-0.267655454103887,0.510512549889427,0.182781378299165,0.765171372346781,0.998583333333333
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","6B",-0.59622046365989,-0.573717150025446,-0.958646272843098,-0.348967510921907,0.563427197954488,0.383411569471798,0.70541604821474,1
"navajo_vdl_pcv7","Navajo / American Indian immunogenicity","6B",-0.660324191554403,-0.631950790626452,-1.08695178305335,-0.378525713213997,0.531553838666541,0.337242918107959,0.684870360610524,1
"south_africa_vdl_pcv7","South Africa immunogenicity","6B",-0.706870812342372,-0.681508587439329,-1.15072673567703,-0.402694926150866,0.505853292533182,0.316406741736856,0.668516014971208,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","9V",-0.667268938024267,-0.600178591851538,-1.42652124447964,-0.302824404824797,0.548713631559457,0.240142869185828,0.73872880219574,0.999583333333333
"navajo_vdl_pcv7","Navajo / American Indian immunogenicity","9V",-0.729661669215299,-0.648778926967693,-1.56911908244881,-0.329500038830513,0.522683622129284,0.208228533756475,0.71928325724895,0.999666666666667
"south_africa_vdl_pcv7","South Africa immunogenicity","9V",-0.816843904899893,-0.724045285288116,-1.76635265632849,-0.349584950606286,0.484787181543054,0.170955386132707,0.704980630788406,0.999666666666667
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","14",-0.563981629877579,-0.549230056479461,-0.870586096184598,-0.339050620231886,0.577394200204245,0.418706075285797,0.712446383975224,1
"navajo_vdl_pcv7","Navajo / American Indian immunogenicity","14",-0.568032256670791,-0.557283129464787,-0.859182985771083,-0.337077298416423,0.572763074991479,0.423507953031548,0.713853658012689,1
"south_africa_vdl_pcv7","South Africa immunogenicity","14",-0.742378219411831,-0.712145231396401,-1.21056516008489,-0.435819511567768,0.490590637361857,0.298028797844149,0.646734443487815,1
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","18C",-0.396815475211938,-0.4101544771934,-0.666737785660302,-0.0690207412344224,0.663547739226282,0.51338060662215,0.933307321931494,0.99075
"navajo_vdl_pcv7","Navajo / American Indian immunogenicity","18C",-0.4336413912203,-0.44748459456279,-0.73021706806008,-0.0803141280367133,0.639234063854709,0.481804394393192,0.922826415201229,0.991916666666667
"south_africa_vdl_pcv7","South Africa immunogenicity","18C",-0.419270843226897,-0.429804823340173,-0.737052021919248,-0.0507005551476217,0.650636071306641,0.478522512121838,0.950563269197319,0.9885
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","19F",-0.49270219723588,-0.495528682857654,-0.799767378081282,-0.181252010733851,0.609248722781317,0.449433500041192,0.834225098523716,0.99775
"navajo_vdl_pcv7","Navajo / American Indian immunogenicity","19F",-0.562114866476696,-0.554764478123728,-0.944660900778769,-0.22613625038318,0.574207483695812,0.388811394190879,0.797609419672802,0.998833333333333
"south_africa_vdl_pcv7","South Africa immunogenicity","19F",-0.522080492668983,-0.527774731032878,-0.853595776996407,-0.17518662063461,0.589916232466374,0.425880803014245,0.839300375384348,0.997666666666667
"nckp_vdl_pcv7","NCKP immunogenicity (US, Whitney/Kaiser)","23F",-0.488604749182619,-0.491481644567505,-0.781380910452853,-0.192616657612539,0.611719371723943,0.457773430521793,0.824798093614619,0.998916666666667
"navajo_vdl_pcv7","Navajo / American Indian immunogenicity","23F",-0.528394018802333,-0.528301965758697,-0.861072786232532,-0.20115250767262,0.589605290120298,0.422708363276993,0.817787703143777,0.999083333333333
"south_africa_vdl_pcv7","South Africa immunogenicity","23F",-0.543878930582594,-0.545785385952543,-0.907460799710955,-0.188157599095356,0.579386562533926,0.403547612403811,0.82848412859423,0.999
