"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.6791,0.1682,-4.0227,-3.7919,-3.6733,-3.563,-3.364
"a[2]",-3.4388,0.149,-3.742,-3.5378,-3.4357,-3.3359,-3.1571
"a[3]",-3.8313,0.1863,-4.2216,-3.953,-3.8225,-3.7014,-3.4927
"a[4]",-2.9307,0.125,-3.1797,-3.0136,-2.9278,-2.845,-2.6943
"a[5]",-3.1925,0.1348,-3.4635,-3.2806,-3.1902,-3.1022,-2.9333
"a[6]",-3.3156,0.1397,-3.5994,-3.4076,-3.3129,-3.2205,-3.0524
"a[7]",-3.665,0.1668,-4.007,-3.7738,-3.6624,-3.5493,-3.3541
"b1[1]",-0.5992,0.111,-0.8318,-0.6699,-0.5949,-0.5235,-0.39
"b1[2]",-0.3818,0.0788,-0.5414,-0.4336,-0.3802,-0.3279,-0.2324
"b1[3]",-0.9311,0.2124,-1.4199,-1.0494,-0.9061,-0.7817,-0.5928
"b1[4]",-0.6317,0.0875,-0.8156,-0.6868,-0.6272,-0.572,-0.4723
"b1[5]",-0.8952,0.1598,-1.2478,-0.99,-0.8788,-0.7819,-0.6287
"b1[6]",-0.4402,0.0944,-0.6256,-0.5037,-0.4395,-0.3755,-0.2592
"b1[7]",-0.7084,0.1305,-0.9854,-0.7903,-0.701,-0.618,-0.4739
"mu_a",-3.4372,0.1874,-3.825,-3.5416,-3.434,-3.3272,-3.0638
"mu_b1",-0.6534,0.1374,-0.9467,-0.7274,-0.6451,-0.5738,-0.3997
"mu_x",3.6207,0.2819,3.0505,3.4506,3.621,3.7925,4.1893
"ref[1]",-3.4992,0.1031,-3.7032,-3.569,-3.4993,-3.429,-3.3003
"ref[2]",-2.5215,0.0638,-2.6458,-2.5646,-2.5219,-2.4796,-2.3945
"ref[3]",-2.9992,0.0463,-3.0896,-3.0303,-2.9992,-2.9684,-2.9076
"ref[4]",-2.9676,0.1029,-3.1712,-3.0372,-2.9686,-2.8984,-2.765
"ref[5]",-3.2191,0.0572,-3.3312,-3.2571,-3.2198,-3.1814,-3.1056
"ref[6]",-2.2224,0.0941,-2.4039,-2.2878,-2.2231,-2.1587,-2.0392
"ref[7]",-3.0042,0.1017,-3.205,-3.073,-3.0056,-2.9345,-2.8045
"rr[1]",0.5526,0.0607,0.4353,0.5118,0.5516,0.5925,0.677
"rr[2]",0.6847,0.0537,0.5819,0.6481,0.6837,0.7204,0.7926
"rr[3]",0.4026,0.0798,0.2417,0.3501,0.4041,0.4576,0.5528
"rr[4]",0.5337,0.0462,0.4424,0.5032,0.5341,0.5644,0.6235
"rr[5]",0.4136,0.0633,0.2871,0.3716,0.4153,0.4575,0.5333
"rr[6]",0.6468,0.061,0.535,0.6043,0.6444,0.6869,0.7717
"rr[7]",0.4966,0.0636,0.3733,0.4537,0.4961,0.539,0.6226
"rr_global",0.5251,0.0718,0.388,0.4832,0.5246,0.5634,0.6705
"sigma_a",0.4286,0.1775,0.1973,0.3079,0.3919,0.5058,0.8828
"sigma_b1",0.2973,0.1467,0.1065,0.1987,0.2661,0.3607,0.6773
"sigma_x",0.7001,0.2349,0.3832,0.5354,0.6528,0.8124,1.2809
"x[1]",3.8036,0.1219,3.5642,3.7211,3.8046,3.8845,4.0431
"x[2]",3.718,0.1165,3.4913,3.6388,3.7177,3.7953,3.9443
"x[3]",3.4754,0.0806,3.3169,3.4215,3.4746,3.5294,3.6337
"x[4]",4.4978,0.1256,4.2507,4.4137,4.4976,4.5823,4.7419
"x[5]",3.8927,0.0896,3.7137,3.8333,3.8926,3.9524,4.0688
"x[6]",2.5953,0.1157,2.3661,2.5172,2.5951,2.6737,2.8227
"x[7]",3.3721,0.1308,3.1158,3.2819,3.3728,3.461,3.6277
