"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-5.8869,0.6666,-7.1992,-6.2999,-5.8976,-5.4917,-4.5379
"a[2]",-4.8139,0.1645,-5.1558,-4.9202,-4.808,-4.7024,-4.505
"a[3]",-5.5758,0.2102,-5.9988,-5.7149,-5.5689,-5.4301,-5.1836
"a[4]",-3.2048,0.6617,-4.436,-3.6213,-3.2229,-2.8098,-1.8208
"a[5]",-4.3303,0.1112,-4.5545,-4.4055,-4.3291,-4.2535,-4.1184
"a[6]",-5.4272,0.1901,-5.8091,-5.5537,-5.4237,-5.295,-5.0715
"a[7]",-4.9161,0.6584,-6.1805,-5.3275,-4.9358,-4.5259,-3.5814
"a[8]",-6.1081,0.2711,-6.683,-6.2821,-6.0929,-5.919,-5.6167
"a[9]",-6.4131,0.6865,-7.7697,-6.8382,-6.4169,-5.9907,-5.0492
"a[10]",-4.2754,0.1104,-4.4962,-4.3494,-4.2742,-4.1994,-4.0628
"a[11]",-5.5178,0.6664,-6.8131,-5.9319,-5.532,-5.1197,-4.1777
"a[12]",-6.1655,0.2677,-6.7183,-6.3412,-6.1556,-5.9811,-5.6712
"b1[1]",-0.4647,0.0571,-0.5766,-0.5029,-0.4642,-0.4255,-0.3529
"b1[2]",-0.7818,0.0604,-0.9045,-0.8216,-0.7798,-0.7403,-0.6679
"b1[3]",-0.7574,0.0749,-0.9104,-0.8066,-0.755,-0.7051,-0.6156
"b1[4]",-1.2705,0.1518,-1.5806,-1.3691,-1.2678,-1.1655,-0.983
"b1[5]",-0.6798,0.078,-0.837,-0.7306,-0.679,-0.6275,-0.5292
"b1[6]",-0.7124,0.0821,-0.8758,-0.7675,-0.7119,-0.6562,-0.5536
"b1[7]",-0.2274,0.0665,-0.3535,-0.273,-0.2289,-0.1836,-0.0919
"b1[8]",-0.6067,0.0826,-0.7781,-0.6612,-0.6029,-0.5495,-0.4565
"b1[9]",-1.0935,0.2235,-1.5574,-1.239,-1.0848,-0.9371,-0.6855
"b1[10]",-0.4835,0.0539,-0.5903,-0.5195,-0.4834,-0.4466,-0.3795
"b1[11]",-0.6151,0.0554,-0.727,-0.6521,-0.6139,-0.5772,-0.5099
"b1[12]",-0.8685,0.1146,-1.1002,-0.9442,-0.865,-0.7901,-0.6485
"delta[1]",0,0,0,0,0,0,0
"delta[2]",1.0321,0.0901,0.855,0.9709,1.0325,1.0926,1.2085
"delta[3]",1.4663,0.1193,1.2301,1.386,1.4673,1.5488,1.6929
"delta[4]",2.1319,0.6546,0.8244,1.7466,2.1461,2.5404,3.3916
"delta[5]",1.9897,0.6641,0.6474,1.5973,2.0034,2.4098,3.2656
"mu_a",-5.2203,0.432,-6.0722,-5.4878,-5.2208,-4.9534,-4.3662
"mu_b1",-0.7125,0.1019,-0.9245,-0.7749,-0.7094,-0.647,-0.5159
"mu_x_i",0.9559,0.1071,0.7421,0.8897,0.9565,1.023,1.1685
"mu_x_u",-2.4055,0.3629,-3.1366,-2.6326,-2.4061,-2.1736,-1.6883
"rr[1]",0.6293,0.0359,0.5618,0.6048,0.6287,0.6534,0.7027
"rr[2]",0.4584,0.0276,0.4048,0.4397,0.4585,0.477,0.5128
"rr[3]",0.4702,0.035,0.4023,0.4464,0.47,0.4941,0.5403
"rr[4]",0.2839,0.0429,0.2058,0.2543,0.2815,0.3118,0.3742
"rr[5]",0.5083,0.0396,0.433,0.4816,0.5071,0.5339,0.5891
"rr[6]",0.4921,0.0404,0.4165,0.4642,0.4907,0.5188,0.5749
"rr[7]",0.7983,0.0534,0.7022,0.7611,0.7954,0.8322,0.9122
"rr[8]",0.547,0.0448,0.4593,0.5162,0.5472,0.5773,0.6335
"rr[9]",0.3434,0.0755,0.2107,0.2897,0.338,0.3918,0.5038
"rr[10]",0.6175,0.0333,0.5542,0.5948,0.6167,0.6398,0.6842
"rr[11]",0.5414,0.03,0.4834,0.5209,0.5412,0.5614,0.6005
"rr[12]",0.4223,0.0482,0.3328,0.389,0.4211,0.4538,0.5228
"rr_global",0.493,0.05,0.3967,0.4607,0.4919,0.5236,0.597
"sigma_a",1.0864,0.2841,0.6901,0.8872,1.0328,1.2282,1.7679
"sigma_b1",0.32,0.0919,0.1847,0.2552,0.3041,0.3689,0.5398
"sigma_x_i",0.3578,0.0861,0.2347,0.2972,0.3431,0.4014,0.5663
"sigma_x_u",1.2328,0.2883,0.8085,1.0303,1.1864,1.384,1.9277
"x_i[1]",1.0856,0.0415,1.0042,1.0575,1.086,1.1137,1.1665
"x_i[2]",1.4118,0.0433,1.3261,1.3836,1.4119,1.4412,1.4969
"x_i[3]",0.7551,0.034,0.688,0.7322,0.7552,0.7782,0.8221
"x_i[4]",1.3486,0.035,1.2796,1.3253,1.3487,1.3719,1.4175
"x_i[5]",0.8086,0.0337,0.7429,0.7857,0.8086,0.8316,0.8755
"x_i[6]",0.6012,0.042,0.5189,0.5728,0.6012,0.6294,0.6845
"x_i[7]",0.4062,0.0398,0.3278,0.3796,0.4064,0.4328,0.4842
"x_i[8]",0.9792,0.0348,0.9116,0.9557,0.9786,1.0027,1.048
"x_i[9]",0.9052,0.0431,0.8209,0.8764,0.9051,0.9341,0.9914
"x_i[10]",1.2825,0.0497,1.1859,1.2489,1.2832,1.3155,1.3798
"x_i[11]",1.2704,0.0351,1.2028,1.2467,1.2703,1.2942,1.3396
"x_i[12]",0.6164,0.0316,0.5536,0.5952,0.6166,0.6382,0.6775
"x_u[1]",-3.912,0.001,-3.9139,-3.9127,-3.912,-3.9113,-3.91
"x_u[2]",-2.7462,0.0481,-2.8395,-2.7785,-2.7463,-2.7138,-2.652
"x_u[3]",-2.9653,0.0394,-3.0423,-2.9919,-2.9652,-2.9383,-2.888
"x_u[4]",0.2241,0.0363,0.1538,0.1995,0.2242,0.2481,0.2962
"x_u[5]",-1.5196,0.042,-1.6009,-1.5481,-1.5193,-1.4909,-1.4374
"x_u[6]",-2.5463,0.0454,-2.6345,-2.5769,-2.5463,-2.5158,-2.4575
"x_u[7]",-3.0449,0.0631,-3.1693,-3.0875,-3.045,-3.0027,-2.9197
"x_u[8]",-3.5065,0.001,-3.5084,-3.5072,-3.5065,-3.5058,-3.5045
"x_u[9]",-1.0495,0.053,-1.1545,-1.0851,-1.0496,-1.0141,-0.9452
"x_u[10]",-2.1258,0.0377,-2.2007,-2.1508,-2.1255,-2.1008,-2.0523
"x_u[11]",-3.2162,0.0486,-3.3114,-3.249,-3.216,-3.1834,-3.1215
"x_u[12]",-2.5078,0.0297,-2.5664,-2.5279,-2.5076,-2.4877,-2.4491
