"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-4.7872,0.1592,-5.1141,-4.8901,-4.7839,-4.6776,-4.489
"a[2]",-5.5247,0.1966,-5.9291,-5.6544,-5.5187,-5.3861,-5.1617
"a[3]",-4.3351,0.1112,-4.5557,-4.4099,-4.3332,-4.2605,-4.1205
"a[4]",-5.4098,0.18,-5.7725,-5.5275,-5.4028,-5.2859,-5.0773
"a[5]",-6.1076,0.2547,-6.6269,-6.274,-6.0966,-5.93,-5.6411
"a[6]",-4.3012,0.1124,-4.5238,-4.3758,-4.2986,-4.2242,-4.0846
"a[7]",-6.0195,0.2407,-6.5224,-6.172,-6.0082,-5.8537,-5.5733
"b1[1]",-0.7695,0.0568,-0.8874,-0.807,-0.7677,-0.7306,-0.6634
"b1[2]",-0.738,0.0693,-0.88,-0.784,-0.7364,-0.6903,-0.6075
"b1[3]",-0.6814,0.072,-0.8264,-0.7286,-0.6806,-0.6333,-0.5422
"b1[4]",-0.7042,0.0743,-0.854,-0.7537,-0.7027,-0.654,-0.5619
"b1[5]",-0.6134,0.0757,-0.7654,-0.6633,-0.6121,-0.5621,-0.4679
"b1[6]",-0.5091,0.0544,-0.6184,-0.5449,-0.5087,-0.4724,-0.4038
"b1[7]",-0.7974,0.0997,-1.0088,-0.86,-0.7926,-0.7275,-0.6192
"delta[1]",0,0,0,0,0,0,0
"delta[2]",1.0309,0.0899,0.8515,0.9716,1.0316,1.0914,1.2062
"delta[3]",1.4616,0.1185,1.2271,1.3829,1.4632,1.5416,1.6877
"mu_a",-5.2062,0.357,-5.9299,-5.4177,-5.202,-4.9895,-4.5063
"mu_b1",-0.6876,0.0702,-0.8281,-0.7298,-0.6861,-0.6445,-0.554
"mu_x_i",0.922,0.1506,0.6206,0.8331,0.9206,1.0096,1.2224
"mu_x_u",-2.5601,0.2878,-3.1388,-2.7288,-2.5573,-2.3903,-1.9927
"rr[1]",0.464,0.0262,0.4117,0.4462,0.4641,0.4816,0.5151
"rr[2]",0.4792,0.033,0.4148,0.4566,0.4788,0.5014,0.5447
"rr[3]",0.5072,0.0365,0.4376,0.4826,0.5063,0.5308,0.5815
"rr[4]",0.4959,0.0368,0.4257,0.4706,0.4953,0.52,0.5701
"rr[5]",0.5431,0.041,0.4651,0.5151,0.5422,0.57,0.6263
"rr[6]",0.6019,0.0327,0.5388,0.5799,0.6013,0.6235,0.6678
"rr[7]",0.4527,0.0445,0.3647,0.4232,0.4527,0.4831,0.5384
"rr_global",0.504,0.0356,0.4369,0.482,0.5036,0.5249,0.5747
"sigma_a",0.8795,0.3206,0.474,0.6626,0.809,1.0153,1.7029
"sigma_b1",0.1513,0.0627,0.0724,0.1096,0.1382,0.1779,0.3078
"sigma_x_i",0.3736,0.1357,0.2069,0.2833,0.3444,0.427,0.7122
"sigma_x_u",0.7249,0.2643,0.4004,0.5522,0.6685,0.8302,1.3707
"x_i[1]",1.411,0.0434,1.3252,1.3822,1.411,1.4395,1.4961
"x_i[2]",0.7552,0.0335,0.6907,0.7327,0.7546,0.7779,0.8203
"x_i[3]",0.8095,0.0342,0.7427,0.7864,0.8095,0.8323,0.877
"x_i[4]",0.6011,0.042,0.5175,0.5728,0.6014,0.6295,0.6821
"x_i[5]",0.9788,0.0343,0.9113,0.9556,0.9786,1.0017,1.0476
"x_i[6]",1.2779,0.0498,1.1797,1.2444,1.278,1.3118,1.3738
"x_i[7]",0.6176,0.0317,0.5556,0.5964,0.6178,0.6396,0.6798
"x_u[1]",-2.7478,0.048,-2.8414,-2.7808,-2.7477,-2.7154,-2.6534
"x_u[2]",-2.9655,0.0396,-3.0425,-2.992,-2.9651,-2.939,-2.8869
"x_u[3]",-1.5233,0.0421,-1.6063,-1.5513,-1.5232,-1.4945,-1.4413
"x_u[4]",-2.5469,0.0452,-2.6364,-2.5769,-2.5465,-2.516,-2.4601
"x_u[5]",-3.5065,0.001,-3.5084,-3.5071,-3.5065,-3.5058,-3.5045
"x_u[6]",-2.1261,0.037,-2.199,-2.1509,-2.1262,-2.1009,-2.0529
"x_u[7]",-2.5084,0.0295,-2.5666,-2.5279,-2.5084,-2.4888,-2.4504
