"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.672,0.1687,-4.0227,-3.782,-3.6642,-3.5562,-3.3558
"a[2]",-3.4457,0.1498,-3.7523,-3.5408,-3.4416,-3.3443,-3.166
"a[3]",-3.8435,0.189,-4.2333,-3.9657,-3.8363,-3.7129,-3.4988
"a[4]",-2.9267,0.1234,-3.1751,-3.0077,-2.925,-2.843,-2.6921
"a[5]",-3.1913,0.1363,-3.4684,-3.2816,-3.1899,-3.0978,-2.9341
"a[6]",-3.3237,0.1396,-3.6053,-3.4178,-3.3211,-3.2259,-3.0589
"a[7]",-3.6659,0.1682,-4.0141,-3.775,-3.6599,-3.548,-3.3583
"b1[1]",-0.5121,0.0997,-0.7204,-0.5767,-0.5084,-0.442,-0.329
"b1[2]",-0.4364,0.0911,-0.6194,-0.4968,-0.4345,-0.3726,-0.2642
"b1[3]",-1.1239,0.2698,-1.7482,-1.2776,-1.0877,-0.9332,-0.6969
"b1[4]",-0.5972,0.0832,-0.7719,-0.6506,-0.5934,-0.5397,-0.447
"b1[5]",-1.0086,0.1833,-1.4125,-1.1191,-0.993,-0.8804,-0.6973
"b1[6]",-0.5412,0.1148,-0.7687,-0.6183,-0.5414,-0.4625,-0.3202
"b1[7]",-0.7703,0.1417,-1.0665,-0.8598,-0.7622,-0.6718,-0.5117
"mu_a",-3.4387,0.1899,-3.8193,-3.5476,-3.4347,-3.328,-3.0693
"mu_b1",-0.7143,0.1653,-1.0714,-0.8033,-0.7035,-0.6161,-0.4114
"mu_x",3.428,0.4222,2.5682,3.1696,3.4276,3.6921,4.2601
"ref[1]",-3.5066,0.001,-3.5085,-3.5072,-3.5066,-3.5059,-3.5046
"ref[2]",-2.0387,0.0562,-2.1463,-2.077,-2.0389,-2.0005,-1.9268
"ref[3]",-2.2127,0.047,-2.304,-2.2447,-2.2126,-2.1812,-2.121
"ref[4]",-3.4966,0.0735,-3.6424,-3.5454,-3.4969,-3.447,-3.3541
"ref[5]",-2.8164,0.0853,-2.9823,-2.8736,-2.8166,-2.7579,-2.6486
"ref[6]",-1.4301,0.0642,-1.5565,-1.4735,-1.4305,-1.3876,-1.3052
"ref[7]",-2.5279,0.0637,-2.6521,-2.5709,-2.5286,-2.4849,-2.4032
"rr[1]",0.6022,0.0594,0.4866,0.5617,0.6015,0.6427,0.7196
"rr[2]",0.649,0.0589,0.5383,0.6085,0.6476,0.6889,0.7678
"rr[3]",0.3362,0.0829,0.1741,0.2787,0.337,0.3933,0.4981
"rr[4]",0.5522,0.0454,0.4622,0.5217,0.5524,0.5829,0.6395
"rr[5]",0.3707,0.065,0.2435,0.3266,0.3705,0.4146,0.4979
"rr[6]",0.5859,0.0673,0.4636,0.5388,0.582,0.6297,0.726
"rr[7]",0.4675,0.065,0.3442,0.4233,0.4666,0.5108,0.5995
"rr_global",0.4962,0.084,0.3425,0.4479,0.4948,0.5401,0.6627
"sigma_a",0.4313,0.1774,0.1956,0.3099,0.3944,0.512,0.8819
"sigma_b1",0.3601,0.1749,0.1273,0.2394,0.324,0.438,0.8088
"sigma_x",1.069,0.3046,0.6337,0.8524,1.0153,1.2261,1.8261
"x[1]",4.5871,0.0506,4.4875,4.5537,4.5872,4.6207,4.6873
"x[2]",3.1952,0.0962,3.0076,3.1302,3.1959,3.2591,3.3858
"x[3]",2.7309,0.0663,2.601,2.686,2.7314,2.7759,2.8606
"x[4]",4.8122,0.1034,4.6123,4.7421,4.8135,4.8818,5.0155
"x[5]",3.5057,0.0985,3.315,3.4391,3.5052,3.5719,3.6992
"x[6]",2.062,0.0833,1.9004,2.0056,2.0621,2.1187,2.2255
"x[7]",3.1159,0.0891,2.9394,3.0558,3.1168,3.1755,3.2915
