"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.1085,0.3274,-3.8003,-3.3171,-3.0908,-2.8806,-2.517
"a[2]",-1.9805,0.1998,-2.3982,-2.1107,-1.9722,-1.8409,-1.6072
"a[3]",-3.0424,0.2921,-3.6434,-3.2361,-3.0364,-2.8411,-2.4894
"a[4]",-1.3404,0.1321,-1.6061,-1.4275,-1.3382,-1.2507,-1.0875
"a[5]",-2.6013,0.2449,-3.1007,-2.7618,-2.5925,-2.4314,-2.153
"a[6]",-2.355,0.207,-2.7544,-2.4989,-2.3561,-2.213,-1.9471
"a[7]",-2.4125,0.2182,-2.8645,-2.5555,-2.4059,-2.2662,-2.0035
"b1[1]",-0.7776,0.1139,-1.0263,-0.8404,-0.7687,-0.7075,-0.5668
"b1[2]",-0.6338,0.0922,-0.8013,-0.7016,-0.6367,-0.5705,-0.4478
"b1[3]",-0.834,0.1282,-1.1268,-0.909,-0.8153,-0.7465,-0.6177
"b1[4]",-0.7787,0.0668,-0.9219,-0.8205,-0.7743,-0.7323,-0.6584
"b1[5]",-0.7585,0.0945,-0.9543,-0.8161,-0.7569,-0.6998,-0.5707
"b1[6]",-0.8625,0.123,-1.1432,-0.9374,-0.8461,-0.7728,-0.6651
"b1[7]",-0.7862,0.0946,-0.9899,-0.8438,-0.7816,-0.7246,-0.6083
"mu_a",-2.4048,0.3167,-3.0463,-2.5948,-2.3957,-2.2118,-1.7901
"mu_b1",-0.776,0.0824,-0.9541,-0.8209,-0.7711,-0.7261,-0.6245
"mu_x",3.4291,0.4151,2.5946,3.1722,3.4341,3.6864,4.2486
"ref[1]",-3.5066,0.001,-3.5085,-3.5072,-3.5066,-3.5059,-3.5047
"ref[2]",-2.0328,0.0574,-2.1435,-2.0719,-2.0328,-1.9942,-1.919
"ref[3]",-2.2118,0.0467,-2.3032,-2.2433,-2.2119,-2.1806,-2.1205
"ref[4]",-3.4981,0.0733,-3.6448,-3.5472,-3.4978,-3.4485,-3.3569
"ref[5]",-2.8106,0.0861,-2.9796,-2.8685,-2.8099,-2.7524,-2.64
"ref[6]",-1.4421,0.0633,-1.5646,-1.4857,-1.4428,-1.3991,-1.3168
"ref[7]",-2.5276,0.0637,-2.6526,-2.5705,-2.5274,-2.485,-2.4025
"rr[1]",0.4625,0.0517,0.3583,0.4315,0.4636,0.4929,0.5673
"rr[2]",0.5329,0.0497,0.4488,0.4958,0.5291,0.5652,0.639
"rr[3]",0.4378,0.0542,0.3241,0.4029,0.4425,0.474,0.5392
"rr[4]",0.46,0.0304,0.3977,0.4402,0.461,0.4808,0.5177
"rr[5]",0.4704,0.0445,0.3851,0.4422,0.4691,0.4967,0.5652
"rr[6]",0.4252,0.0506,0.3188,0.3917,0.4291,0.4617,0.5142
"rr[7]",0.4576,0.0429,0.3716,0.4301,0.4577,0.4845,0.5443
"rr_global",0.4618,0.0378,0.3852,0.4401,0.4625,0.4838,0.5355
"sigma_a",0.7584,0.2637,0.3925,0.5727,0.7081,0.8902,1.4116
"sigma_b1",0.1382,0.0958,0.0109,0.0714,0.1213,0.1825,0.3729
"sigma_x",1.0607,0.3025,0.6329,0.846,1.006,1.216,1.7988
"x[1]",4.5889,0.0504,4.4914,4.555,4.5883,4.6233,4.686
"x[2]",3.179,0.0967,2.9895,3.1139,3.1791,3.2444,3.3695
"x[3]",2.728,0.0653,2.5991,2.6843,2.7285,2.7724,2.8553
"x[4]",4.8152,0.1018,4.6183,4.7458,4.8152,4.8836,5.014
"x[5]",3.4979,0.0987,3.3041,3.431,3.4972,3.565,3.6923
"x[6]",2.0832,0.0816,1.9217,2.0285,2.0832,2.1379,2.2407
"x[7]",3.1168,0.0895,2.9416,3.0566,3.117,3.1748,3.2946
