"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.1735,0.3519,-3.9332,-3.3939,-3.1549,-2.9298,-2.5456
"a[2]",-2.0621,0.2007,-2.4705,-2.1948,-2.0559,-1.9245,-1.6887
"a[3]",-2.9259,0.2992,-3.5429,-3.1173,-2.9168,-2.7184,-2.3763
"a[4]",-1.3631,0.1366,-1.6403,-1.4519,-1.3605,-1.2704,-1.1051
"a[5]",-2.6223,0.2579,-3.1632,-2.7908,-2.6107,-2.4454,-2.1484
"a[6]",-2.1746,0.208,-2.5969,-2.3108,-2.1705,-2.0311,-1.7843
"a[7]",-2.3822,0.2306,-2.8602,-2.5329,-2.3745,-2.2212,-1.9483
"b1[1]",-0.897,0.2518,-1.5059,-1.0098,-0.8552,-0.7292,-0.5481
"b1[2]",-0.6874,0.2222,-1.207,-0.7983,-0.6571,-0.5311,-0.3643
"b1[3]",-0.8303,0.2337,-1.3705,-0.9415,-0.7957,-0.6766,-0.4964
"b1[4]",-0.9726,0.2597,-1.5966,-1.0946,-0.9298,-0.7965,-0.6121
"b1[5]",-0.8209,0.2272,-1.3647,-0.9297,-0.7827,-0.6679,-0.4948
"b1[6]",-0.7598,0.2218,-1.2922,-0.8641,-0.7231,-0.6123,-0.4424
"b1[7]",-0.8111,0.2202,-1.3381,-0.9164,-0.7757,-0.6639,-0.4905
"mu_a",-2.3879,0.3151,-3.0384,-2.5739,-2.3779,-2.1945,-1.7746
"mu_b1",-0.8261,0.211,-1.3298,-0.9264,-0.7905,-0.6865,-0.5271
"mu_x",3.3523,0.6771,1.9907,2.896,3.3648,3.8111,4.6621
"ref[1]",-3.5061,0.0219,-3.5482,-3.5209,-3.5063,-3.4913,-3.4632
"ref[2]",-1.9394,1.0337,-4.0022,-2.6341,-1.9374,-1.2368,0.0659
"ref[3]",-2.4883,0.8047,-4.0803,-3.0256,-2.4792,-1.9509,-0.9091
"ref[4]",-3.0027,1.2041,-5.3524,-3.8156,-2.9944,-2.1981,-0.6392
"ref[5]",-2.6905,1.0895,-4.8436,-3.4176,-2.679,-1.9482,-0.5723
"ref[6]",-2.0182,0.9805,-3.9242,-2.6857,-2.0224,-1.3525,-0.0682
"ref[7]",-2.6428,1.0414,-4.6681,-3.3671,-2.6401,-1.9322,-0.6279
"rr[1]",0.4194,0.0911,0.2218,0.3643,0.4252,0.4823,0.578
"rr[2]",0.5144,0.1026,0.2991,0.4501,0.5184,0.588,0.6947
"rr[3]",0.4465,0.0903,0.254,0.39,0.4513,0.5084,0.6087
"rr[4]",0.3895,0.0866,0.2026,0.3347,0.3946,0.4509,0.5422
"rr[5]",0.4503,0.0895,0.2555,0.3947,0.4572,0.5128,0.6097
"rr[6]",0.4782,0.093,0.2747,0.4214,0.4853,0.5421,0.6425
"rr[7]",0.4542,0.0881,0.2623,0.3999,0.4604,0.5148,0.6123
"rr_global",0.4467,0.0837,0.2645,0.396,0.4536,0.5033,0.5903
"sigma_a",0.749,0.264,0.3776,0.5617,0.6994,0.8835,1.3902
"sigma_b1",0.1878,0.1398,0.0123,0.0924,0.1615,0.2473,0.5451
"sigma_x",0.6277,0.3936,0.038,0.3326,0.5913,0.862,1.5244
"x[1]",3.7631,0.7779,2.2695,3.2413,3.7462,4.2593,5.362
"x[2]",2.9162,0.8155,1.4329,2.328,2.8909,3.4643,4.5762
"x[3]",3.2594,0.7232,1.856,2.7668,3.2585,3.7426,4.6993
"x[4]",3.8938,0.8813,2.2746,3.2958,3.8452,4.4484,5.7818
"x[5]",3.3472,0.767,1.9032,2.8288,3.3215,3.8573,4.8981
"x[6]",3.0211,0.7499,1.6094,2.4879,3.0133,3.5254,4.5398
"x[7]",3.2811,0.7511,1.8625,2.7661,3.2665,3.7693,4.8092
