"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.3294,0.6606,-4.8006,-3.7059,-3.2517,-2.8636,-2.2612
"a[2]",-1.5197,0.225,-1.9786,-1.6676,-1.5137,-1.3634,-1.1025
"a[3]",-2.8263,0.4459,-3.7959,-3.1058,-2.7937,-2.5151,-2.043
"a[4]",-1.3371,0.2086,-1.7552,-1.4745,-1.3297,-1.1931,-0.9459
"a[5]",-2.2263,0.3355,-2.9386,-2.442,-2.2063,-1.9952,-1.6285
"a[6]",-1.9186,0.2651,-2.4647,-2.0932,-1.9069,-1.7343,-1.4276
"a[7]",-2.1298,0.3102,-2.7583,-2.3287,-2.1164,-1.9177,-1.5573
"b1[1]",-0.6732,0.3057,-1.4599,-0.7714,-0.6114,-0.4976,-0.2705
"b1[2]",-0.6603,0.1798,-1.087,-0.756,-0.632,-0.5352,-0.3785
"b1[3]",-0.7297,0.3258,-1.5691,-0.8434,-0.6488,-0.5271,-0.3295
"b1[4]",-0.568,0.1327,-0.8592,-0.6471,-0.5573,-0.4783,-0.3371
"b1[5]",-0.4336,0.1663,-0.7302,-0.5484,-0.4475,-0.3281,-0.0803
"b1[6]",-0.5621,0.1742,-0.9447,-0.661,-0.5548,-0.454,-0.2261
"b1[7]",-0.5284,0.1617,-0.8611,-0.6267,-0.5283,-0.4311,-0.2012
"mu_a",-2.1806,0.3827,-2.9881,-2.4005,-2.1672,-1.9358,-1.448
"mu_b1",-0.5928,0.1574,-0.956,-0.6671,-0.5783,-0.4983,-0.3335
"mu_x",3.4322,0.4189,2.5878,3.1698,3.4324,3.6938,4.2771
"ref[1]",-3.5066,0.001,-3.5085,-3.5072,-3.5066,-3.5059,-3.5046
"ref[2]",-2.0421,0.0572,-2.1544,-2.0807,-2.0413,-2.0041,-1.9304
"ref[3]",-2.2098,0.0463,-2.303,-2.2406,-2.2096,-2.1788,-2.119
"ref[4]",-3.4977,0.073,-3.6381,-3.5467,-3.4993,-3.4488,-3.3533
"ref[5]",-2.8075,0.087,-2.9788,-2.866,-2.8084,-2.7489,-2.6345
"ref[6]",-1.4334,0.0639,-1.5586,-1.4763,-1.4333,-1.3902,-1.3081
"ref[7]",-2.5255,0.0636,-2.6509,-2.5684,-2.5255,-2.4824,-2.4004
"rr[1]",0.5299,0.1283,0.2323,0.4624,0.5426,0.608,0.763
"rr[2]",0.5247,0.0879,0.3372,0.4695,0.5316,0.5855,0.6849
"rr[3]",0.5034,0.1287,0.2082,0.4303,0.5227,0.5903,0.7193
"rr[4]",0.5715,0.0736,0.4235,0.5236,0.5728,0.6198,0.7139
"rr[5]",0.6573,0.1132,0.4818,0.5779,0.6392,0.7203,0.9228
"rr[6]",0.5786,0.0996,0.3888,0.5163,0.5742,0.6351,0.7976
"rr[7]",0.5973,0.0969,0.4227,0.5344,0.5896,0.6498,0.8178
"rr_global",0.5594,0.0844,0.3844,0.5132,0.5609,0.6076,0.7164
"sigma_a",0.8626,0.331,0.3734,0.6273,0.8081,1.043,1.657
"sigma_b1",0.2163,0.1942,0.007,0.0825,0.167,0.2915,0.7296
"sigma_x",1.0748,0.3029,0.6374,0.8569,1.0254,1.2332,1.8074
"x[1]",4.5896,0.0509,4.4897,4.5553,4.5903,4.6239,4.688
"x[2]",3.2066,0.0958,3.0186,3.1425,3.2059,3.27,3.3963
"x[3]",2.7254,0.0661,2.5944,2.6811,2.7259,2.7693,2.8547
"x[4]",4.8128,0.1014,4.6156,4.7444,4.8132,4.8822,5.0098
"x[5]",3.4936,0.1005,3.2915,3.4269,3.4933,3.562,3.6901
"x[6]",2.0677,0.0814,1.9109,2.0128,2.0669,2.1219,2.2308
"x[7]",3.1133,0.0893,2.9368,3.0528,3.1141,3.1738,3.2847
