"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"b1[1]",-0.6019,0.1094,-0.83,-0.6717,-0.597,-0.5272,-0.3973
"b1[2]",-0.3846,0.0783,-0.5409,-0.4367,-0.3827,-0.3318,-0.2342
"b1[3]",-0.9148,0.2018,-1.3785,-1.0287,-0.8888,-0.7736,-0.5944
"b1[4]",-0.6291,0.087,-0.813,-0.6848,-0.6246,-0.5683,-0.4696
"b1[5]",-0.8866,0.1554,-1.2358,-0.9787,-0.8717,-0.7774,-0.6304
"b1[6]",-0.4443,0.0927,-0.6284,-0.5069,-0.4446,-0.3819,-0.2652
"b1[7]",-0.7082,0.1274,-0.9822,-0.7889,-0.6992,-0.6222,-0.4788
"ref[1]",-3.4973,0.1023,-3.6968,-3.5661,-3.4974,-3.4283,-3.2961
"ref[2]",-2.5214,0.0636,-2.6438,-2.5639,-2.5211,-2.4786,-2.3946
"ref[3]",-2.9989,0.0464,-3.0913,-3.0296,-2.999,-2.9677,-2.9102
"ref[4]",-2.9671,0.104,-3.171,-3.0369,-2.9667,-2.8975,-2.7661
"ref[5]",-3.219,0.0568,-3.329,-3.2575,-3.2195,-3.1808,-3.1075
"ref[6]",-2.2256,0.0945,-2.412,-2.2885,-2.2254,-2.1628,-2.0384
"ref[7]",-3.0034,0.102,-3.2049,-3.0716,-3.0034,-2.935,-2.8051
"a[1]",-3.6673,0.1638,-4.0044,-3.7765,-3.6625,-3.5545,-3.3599
"a[2]",-3.4318,0.1465,-3.7349,-3.527,-3.4279,-3.3346,-3.1563
"a[3]",-3.8178,0.1863,-4.2034,-3.938,-3.8096,-3.6884,-3.4743
"a[4]",-2.9385,0.1236,-3.187,-3.0214,-2.9359,-2.8538,-2.701
"a[5]",-3.1999,0.1343,-3.4682,-3.2891,-3.1966,-3.1083,-2.9431
"a[6]",-3.3136,0.1369,-3.5909,-3.4023,-3.3102,-3.2184,-3.0582
"a[7]",-3.6577,0.1632,-3.985,-3.7659,-3.6523,-3.5449,-3.3527
"x[1]",3.8005,0.1208,3.564,3.7192,3.8004,3.8821,4.0374
"x[2]",3.7161,0.1163,3.4911,3.6371,3.7153,3.7944,3.9445
"x[3]",3.4751,0.0803,3.3194,3.4208,3.4758,3.5292,3.6324
"x[4]",4.4965,0.1249,4.2526,4.4108,4.4966,4.5807,4.7392
"x[5]",3.8915,0.0902,3.7149,3.8309,3.8918,3.9524,4.0685
"x[6]",2.5997,0.1173,2.3695,2.522,2.5982,2.6779,2.8324
"x[7]",3.3732,0.1317,3.1129,3.285,3.3739,3.4634,3.6308
"mu_b1",-0.6498,0.1246,-0.9213,-0.7184,-0.6435,-0.5736,-0.4197
"mu_x",3.621,0.2803,3.0645,3.4582,3.6222,3.7795,4.1788
"mu_a",-3.4321,0.1683,-3.7822,-3.5316,-3.4275,-3.3292,-3.1044
"rr[1]",0.551,0.0596,0.4361,0.5108,0.5505,0.5903,0.6722
"rr[2]",0.6828,0.0533,0.5822,0.6462,0.682,0.7176,0.7912
"rr[3]",0.4084,0.0768,0.252,0.3575,0.4112,0.4614,0.5519
"rr[4]",0.5351,0.0461,0.4435,0.5042,0.5355,0.5665,0.6252
"rr[5]",0.4169,0.062,0.2906,0.3758,0.4182,0.4596,0.5324
"rr[6]",0.644,0.0597,0.5334,0.6024,0.641,0.6826,0.7671
"rr[7]",0.4965,0.0621,0.3745,0.4544,0.497,0.5368,0.6195
"rr_global",0.5261,0.0648,0.398,0.4875,0.5255,0.5635,0.6573
"sigma_b1",0.2708,0.1255,0.1115,0.1866,0.2444,0.3247,0.5889
"sigma_x",0.68,0.2562,0.3694,0.509,0.6239,0.7853,1.3136
"sigma_a",0.39,0.1623,0.1812,0.2818,0.3568,0.4594,0.7995
