"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-5.6744,0.3132,-6.3349,-5.8726,-5.6602,-5.4559,-5.1003
"a[2]",-4.4782,0.1839,-4.852,-4.5981,-4.4728,-4.3518,-4.1346
"a[3]",-6.1268,0.4189,-7.0763,-6.3728,-6.0849,-5.8335,-5.4177
"a[4]",-4.8043,0.2368,-5.2985,-4.9579,-4.7937,-4.6404,-4.3721
"a[5]",-5.7084,0.3718,-6.5382,-5.9279,-5.6753,-5.4515,-5.0803
"a[6]",-4.3618,0.1735,-4.7122,-4.4763,-4.3575,-4.2422,-4.0341
"a[7]",-5.6498,0.3077,-6.2877,-5.8477,-5.6328,-5.434,-5.0847
"b1[1]",-0.5597,0.0982,-0.764,-0.6224,-0.5568,-0.4928,-0.3729
"b1[2]",-0.4123,0.0812,-0.5732,-0.4666,-0.4112,-0.3567,-0.2572
"b1[3]",-0.7309,0.1432,-1.0561,-0.8148,-0.7173,-0.6319,-0.4907
"b1[4]",-0.6431,0.0821,-0.8172,-0.6957,-0.6393,-0.586,-0.4939
"b1[5]",-0.7892,0.1205,-1.0536,-0.862,-0.7789,-0.7045,-0.5847
"b1[6]",-0.4794,0.0915,-0.6585,-0.5417,-0.4799,-0.4171,-0.3003
"b1[7]",-0.6439,0.1102,-0.8731,-0.7127,-0.6396,-0.5684,-0.4411
"mu_a",-5.2564,0.3707,-6.0395,-5.4686,-5.2416,-5.0315,-4.5515
"mu_b1",-0.607,0.0974,-0.8082,-0.6622,-0.603,-0.5492,-0.4238
"mu_x_i",0.6987,0.2219,0.2457,0.5716,0.7001,0.8304,1.1335
"mu_x_u",-2.922,0.1956,-3.3134,-3.0348,-2.9215,-2.8058,-2.5342
"rr[1]",0.5741,0.056,0.4658,0.5367,0.573,0.6109,0.6887
"rr[2]",0.6643,0.0538,0.5637,0.6271,0.6628,0.7,0.7732
"rr[3]",0.4863,0.067,0.3478,0.4427,0.4881,0.5316,0.6122
"rr[4]",0.5274,0.0428,0.4417,0.4987,0.5277,0.5566,0.6102
"rr[5]",0.4575,0.0536,0.3487,0.4223,0.4589,0.4944,0.5573
"rr[6]",0.6217,0.057,0.5176,0.5818,0.6188,0.659,0.7406
"rr[7]",0.5284,0.0576,0.4177,0.4903,0.5275,0.5664,0.6433
"rr_global",0.5476,0.0546,0.4457,0.5157,0.5471,0.5774,0.6546
"sigma_a",0.8474,0.3508,0.403,0.6123,0.7735,0.9924,1.745
"sigma_b1",0.1971,0.0926,0.0808,0.1345,0.1779,0.2353,0.4296
"sigma_x_i",0.5447,0.2001,0.2986,0.4114,0.5,0.6266,1.0427
"sigma_x_u",0.4881,0.1829,0.2643,0.3685,0.4478,0.5608,0.9392
"x_i[1]",0.3159,0.066,0.1861,0.2712,0.3159,0.3598,0.4478
"x_i[2]",1.1711,0.0977,0.9816,1.1049,1.1716,1.238,1.3613
"x_i[3]",0.4818,0.0652,0.3523,0.438,0.4823,0.5256,0.6098
"x_i[4]",1.5228,0.0724,1.3805,1.4747,1.5228,1.5718,1.6648
"x_i[5]",0.6814,0.0691,0.5453,0.6347,0.6824,0.7281,0.8154
"x_i[6]",0.3626,0.0686,0.2296,0.3165,0.3627,0.4087,0.5
"x_i[7]",0.3782,0.0835,0.213,0.3218,0.3789,0.4343,0.5423
"x_u[1]",-3.4683,0.1023,-3.6687,-3.5371,-3.4684,-3.3982,-3.27
"x_u[2]",-2.5308,0.0639,-2.6557,-2.5742,-2.5306,-2.488,-2.4067
"x_u[3]",-2.9955,0.0464,-3.0863,-3.027,-2.9951,-2.964,-2.9045
"x_u[4]",-2.9928,0.101,-3.1924,-3.0607,-2.9929,-2.9242,-2.796
"x_u[5]",-3.2182,0.0562,-3.3302,-3.2552,-3.2183,-3.1806,-3.1103
"x_u[6]",-2.2312,0.0939,-2.4141,-2.2932,-2.232,-2.1682,-2.0476
"x_u[7]",-2.9905,0.1001,-3.1863,-3.0569,-2.9904,-2.9223,-2.7963
