"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.2122,0.3517,-3.9621,-3.438,-3.1922,-2.9682,-2.5764
"a[2]",-2,0.2048,-2.4121,-2.1357,-1.9955,-1.8557,-1.6178
"a[3]",-2.9362,0.2893,-3.5307,-3.1232,-2.9229,-2.7362,-2.4031
"a[4]",-1.3559,0.1333,-1.6209,-1.4443,-1.353,-1.2654,-1.0995
"a[5]",-2.5905,0.2497,-3.108,-2.7555,-2.5787,-2.4156,-2.1331
"a[6]",-2.2475,0.2043,-2.6627,-2.3818,-2.2421,-2.1087,-1.8622
"a[7]",-2.4006,0.2242,-2.8532,-2.5513,-2.393,-2.2466,-1.98
"b1[1]",-0.806,0.1419,-1.128,-0.8878,-0.7896,-0.7078,-0.5694
"b1[2]",-0.5336,0.083,-0.7,-0.5887,-0.5322,-0.4778,-0.3732
"b1[3]",-0.7374,0.1119,-0.9763,-0.8057,-0.7327,-0.6653,-0.5219
"b1[4]",-0.8042,0.0759,-0.9629,-0.853,-0.7999,-0.7507,-0.6646
"b1[5]",-0.694,0.0946,-0.8852,-0.7548,-0.6931,-0.6335,-0.5074
"b1[6]",-0.7673,0.1029,-0.9809,-0.8317,-0.7604,-0.6988,-0.5789
"b1[7]",-0.7359,0.095,-0.9358,-0.7955,-0.7322,-0.6719,-0.555
"mu_a",-2.3922,0.3198,-3.0591,-2.5793,-2.3847,-2.1953,-1.7648
"mu_b1",-0.7258,0.0854,-0.9078,-0.7739,-0.7224,-0.674,-0.5682
"mu_x",3.6246,0.2798,3.0757,3.4547,3.6265,3.7938,4.1891
"ref[1]",-3.5063,0.1027,-3.7085,-3.5751,-3.5053,-3.4361,-3.3084
"ref[2]",-2.5163,0.0642,-2.6424,-2.5595,-2.5161,-2.4728,-2.3915
"ref[3]",-2.9967,0.0456,-3.0865,-3.0273,-2.9969,-2.9661,-2.9071
"ref[4]",-2.9799,0.1026,-3.1775,-3.0491,-2.9815,-2.9108,-2.7747
"ref[5]",-3.2159,0.0567,-3.3279,-3.2542,-3.2156,-3.1777,-3.1053
"ref[6]",-2.235,0.0934,-2.4187,-2.2986,-2.236,-2.1732,-2.051
"ref[7]",-3.0019,0.1024,-3.1994,-3.0718,-3.002,-2.9329,-2.8004
"rr[1]",0.451,0.0614,0.3237,0.4116,0.454,0.4927,0.5658
"rr[2]",0.5885,0.0488,0.4966,0.555,0.5873,0.6202,0.6886
"rr[3]",0.4813,0.0534,0.3767,0.4468,0.4806,0.5141,0.5934
"rr[4]",0.4487,0.0337,0.3818,0.4261,0.4494,0.472,0.5145
"rr[5]",0.5018,0.0475,0.4126,0.4701,0.5,0.5307,0.6021
"rr[6]",0.4667,0.0474,0.375,0.4353,0.4675,0.4972,0.5605
"rr[7]",0.4812,0.0454,0.3923,0.4514,0.4809,0.5107,0.574
"rr_global",0.4857,0.0412,0.4034,0.4612,0.4856,0.5097,0.5665
"sigma_a",0.7511,0.2596,0.3884,0.5691,0.7038,0.8799,1.4017
"sigma_b1",0.1624,0.0917,0.0308,0.1036,0.145,0.2017,0.3857
"sigma_x",0.6963,0.2317,0.3876,0.5334,0.6511,0.804,1.2777
"x[1]",3.8145,0.1211,3.5815,3.7331,3.8139,3.8957,4.0541
"x[2]",3.6995,0.1165,3.4678,3.6213,3.7001,3.7777,3.9298
"x[3]",3.4698,0.0802,3.3124,3.4159,3.4703,3.5239,3.6267
"x[4]",4.5152,0.1253,4.2669,4.4319,4.5159,4.5986,4.7613
"x[5]",3.8829,0.0891,3.7096,3.8233,3.8816,3.9424,4.0593
"x[6]",2.6131,0.1145,2.3874,2.5363,2.6142,2.6917,2.8345
"x[7]",3.3713,0.1298,3.117,3.2835,3.3703,3.46,3.6261
