"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.1964,0.3542,-3.9559,-3.4214,-3.1736,-2.951,-2.5531
"a[2]",-2.0565,0.1968,-2.4545,-2.1863,-2.0509,-1.9203,-1.6912
"a[3]",-2.9136,0.2951,-3.5185,-3.1069,-2.902,-2.7094,-2.3705
"a[4]",-1.3656,0.1364,-1.6399,-1.4565,-1.3635,-1.2719,-1.1044
"a[5]",-2.6109,0.2554,-3.1333,-2.7771,-2.6025,-2.432,-2.1364
"a[6]",-2.1724,0.2092,-2.5986,-2.3102,-2.1643,-2.0291,-1.781
"a[7]",-2.38,0.2276,-2.843,-2.5286,-2.3705,-2.2235,-1.9529
"b1[1]",-0.8932,0.2316,-1.4471,-1.0108,-0.8564,-0.733,-0.5436
"b1[2]",-0.6363,0.184,-1.0671,-0.7353,-0.6085,-0.5067,-0.363
"b1[3]",-0.7928,0.1917,-1.2485,-0.8957,-0.7683,-0.6606,-0.4886
"b1[4]",-0.9636,0.2184,-1.4747,-1.083,-0.934,-0.8086,-0.6269
"b1[5]",-0.7873,0.1877,-1.2368,-0.8855,-0.7633,-0.6603,-0.4935
"b1[6]",-0.7131,0.1799,-1.1352,-0.8104,-0.6897,-0.5865,-0.4355
"b1[7]",-0.7782,0.1857,-1.2108,-0.8758,-0.7534,-0.653,-0.4861
"mu_a",-2.3834,0.3174,-3.0361,-2.5726,-2.3745,-2.1872,-1.7745
"mu_b1",-0.7939,0.1764,-1.207,-0.8876,-0.7719,-0.6748,-0.5126
"mu_x",3.4338,0.6111,2.2567,3.0221,3.421,3.8267,4.7012
"ref[1]",-3.3787,0.9198,-5.1956,-3.9944,-3.3736,-2.7529,-1.6186
"ref[2]",-2.3466,0.767,-3.8496,-2.8529,-2.3409,-1.8409,-0.845
"ref[3]",-2.9724,0.5657,-4.0853,-3.3531,-2.9724,-2.5888,-1.8657
"ref[4]",-2.5371,0.9776,-4.4852,-3.1823,-2.5273,-1.8814,-0.6301
"ref[5]",-3.0363,0.67,-4.3475,-3.489,-3.0432,-2.5902,-1.7216
"ref[6]",-2.6005,0.8847,-4.3196,-3.1999,-2.6017,-1.998,-0.8868
"ref[7]",-3.0247,0.9794,-4.9428,-3.6956,-3.0124,-2.3487,-1.1276
"rr[1]",0.4196,0.0877,0.2352,0.3639,0.4247,0.4805,0.5807
"rr[2]",0.5377,0.0909,0.344,0.4794,0.5442,0.6025,0.6956
"rr[3]",0.4605,0.0824,0.2869,0.4083,0.4638,0.5165,0.6135
"rr[4]",0.3902,0.0787,0.2288,0.3386,0.393,0.4455,0.5343
"rr[5]",0.4627,0.0804,0.2903,0.4125,0.4661,0.5167,0.6105
"rr[6]",0.4977,0.0833,0.3214,0.4447,0.5017,0.5563,0.647
"rr[7]",0.4667,0.0801,0.298,0.4165,0.4708,0.5205,0.615
"rr_global",0.4588,0.0757,0.2991,0.4116,0.4621,0.5092,0.599
"sigma_a",0.7511,0.2636,0.3822,0.5675,0.7022,0.8824,1.399
"sigma_b1",0.197,0.1311,0.016,0.1079,0.1754,0.2569,0.5238
"sigma_x",0.5304,0.3739,0.0266,0.2317,0.4727,0.7532,1.3874
"x[1]",3.6447,0.7325,2.318,3.1541,3.6023,4.0885,5.2141
"x[2]",3.1059,0.7416,1.6885,2.5889,3.1133,3.6082,4.5712
"x[3]",3.4102,0.6466,2.1676,2.979,3.3967,3.8284,4.7323
"x[4]",3.8671,0.7897,2.4863,3.322,3.7964,4.3475,5.599
"x[5]",3.4567,0.6665,2.1922,3.0026,3.441,3.8917,4.8174
"x[6]",3.1793,0.7027,1.8269,2.6885,3.1814,3.649,4.5593
"x[7]",3.3887,0.6833,2.0864,2.9236,3.3793,3.8211,4.8099
