"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.3734,0.6497,-4.8647,-3.7537,-3.3022,-2.9116,-2.3117
"a[2]",-1.5082,0.2249,-1.9711,-1.655,-1.5008,-1.3542,-1.0904
"a[3]",-2.7953,0.4474,-3.7861,-3.072,-2.7609,-2.483,-2.0137
"a[4]",-1.3508,0.2064,-1.7668,-1.4848,-1.3465,-1.2086,-0.9594
"a[5]",-2.2247,0.3336,-2.9239,-2.4354,-2.2081,-1.9935,-1.6236
"a[6]",-1.8878,0.264,-2.4418,-2.0583,-1.8763,-1.707,-1.3916
"a[7]",-2.1306,0.3066,-2.7831,-2.3283,-2.1155,-1.9203,-1.5697
"b1[1]",-0.6376,0.2918,-1.3993,-0.7269,-0.5741,-0.473,-0.2602
"b1[2]",-0.5962,0.1532,-0.9586,-0.6803,-0.5737,-0.493,-0.349
"b1[3]",-0.6673,0.289,-1.4265,-0.7683,-0.6002,-0.4931,-0.3028
"b1[4]",-0.564,0.1346,-0.8706,-0.6362,-0.5492,-0.4738,-0.3391
"b1[5]",-0.3968,0.1548,-0.6667,-0.5082,-0.4102,-0.2939,-0.069
"b1[6]",-0.4927,0.1511,-0.7998,-0.5821,-0.4955,-0.4033,-0.1813
"b1[7]",-0.4886,0.147,-0.7814,-0.5786,-0.4915,-0.3973,-0.1926
"mu_a",-2.1783,0.388,-3.0192,-2.4048,-2.1568,-1.934,-1.4612
"mu_b1",-0.5475,0.144,-0.8755,-0.6137,-0.5338,-0.4634,-0.3102
"mu_x",3.623,0.277,3.0705,3.455,3.6206,3.7924,4.1673
"ref[1]",-3.5025,0.1018,-3.7049,-3.5715,-3.5023,-3.4341,-3.305
"ref[2]",-2.5253,0.0635,-2.6489,-2.568,-2.5249,-2.4822,-2.401
"ref[3]",-2.9972,0.0465,-3.0898,-3.0281,-2.9972,-2.9654,-2.9088
"ref[4]",-2.9727,0.1029,-3.1726,-3.0436,-2.9724,-2.9035,-2.7711
"ref[5]",-3.2152,0.0571,-3.3286,-3.2535,-3.2147,-3.1772,-3.1044
"ref[6]",-2.2276,0.0941,-2.4142,-2.2906,-2.2267,-2.1645,-2.0418
"ref[7]",-2.9982,0.1012,-3.1975,-3.0668,-2.9976,-2.9307,-2.8015
"rr[1]",0.5474,0.1266,0.2468,0.4834,0.5632,0.6231,0.7709
"rr[2]",0.5571,0.0809,0.3834,0.5065,0.5634,0.6108,0.7054
"rr[3]",0.5313,0.1228,0.2401,0.4638,0.5487,0.6107,0.7387
"rr[4]",0.5739,0.0739,0.4187,0.5293,0.5774,0.6226,0.7124
"rr[5]",0.6807,0.1086,0.5134,0.6016,0.6635,0.7453,0.9333
"rr[6]",0.618,0.0947,0.4494,0.5587,0.6092,0.6681,0.8342
"rr[7]",0.6201,0.0917,0.4578,0.5607,0.6117,0.6722,0.8248
"rr_global",0.5841,0.0801,0.4167,0.5413,0.5863,0.6292,0.7333
"sigma_a",0.872,0.3392,0.3797,0.6308,0.8141,1.0516,1.7055
"sigma_b1",0.2043,0.1845,0.0071,0.0782,0.1569,0.2717,0.7095
"sigma_x",0.6958,0.2325,0.3804,0.5348,0.6498,0.8077,1.2781
"x[1]",3.8092,0.1209,3.5731,3.7264,3.8097,3.8909,4.0458
"x[2]",3.731,0.1157,3.5044,3.6533,3.7301,3.8097,3.9561
"x[3]",3.4716,0.0809,3.3129,3.4174,3.4716,3.5263,3.6296
"x[4]",4.5032,0.125,4.2585,4.4197,4.503,4.5871,4.7468
"x[5]",3.8806,0.0894,3.7073,3.8187,3.8805,3.9405,4.0546
"x[6]",2.6025,0.1164,2.3782,2.5233,2.6017,2.681,2.8346
"x[7]",3.3653,0.1284,3.1139,3.2793,3.3644,3.4493,3.6196
