"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.6685,0.1681,-4.0075,-3.7781,-3.6627,-3.5527,-3.3531
"a[2]",-3.4478,0.1481,-3.7503,-3.5429,-3.4431,-3.3475,-3.172
"a[3]",-3.8232,0.1868,-4.2114,-3.9453,-3.8172,-3.694,-3.4743
"a[4]",-2.941,0.1254,-3.1969,-3.0216,-2.938,-2.8554,-2.7039
"a[5]",-3.19,0.1331,-3.4556,-3.277,-3.1891,-3.1004,-2.9326
"a[6]",-3.3173,0.1401,-3.5964,-3.4107,-3.3142,-3.2224,-3.0488
"a[7]",-3.6613,0.1668,-4.0065,-3.7688,-3.6554,-3.5458,-3.3522
"b1[1]",-0.503,0.0984,-0.7047,-0.5672,-0.499,-0.4348,-0.3227
"b1[2]",-0.4394,0.0905,-0.621,-0.4984,-0.4369,-0.3773,-0.2694
"b1[3]",-1.1026,0.2497,-1.6689,-1.2416,-1.0746,-0.9262,-0.7047
"b1[4]",-0.8975,0.1276,-1.1723,-0.9771,-0.8903,-0.8101,-0.6673
"b1[5]",-1.0127,0.1791,-1.4127,-1.1206,-0.9962,-0.8867,-0.7071
"b1[6]",-0.4357,0.0941,-0.623,-0.4989,-0.4339,-0.371,-0.2577
"b1[7]",-0.7818,0.1471,-1.0917,-0.8763,-0.772,-0.6793,-0.5198
"mu_a",-3.4357,0.1845,-3.8091,-3.5412,-3.4323,-3.3281,-3.077
"mu_b1",-0.7393,0.17,-1.1043,-0.8323,-0.7309,-0.6371,-0.4243
"mu_x",3.3105,0.3144,2.6783,3.1205,3.3126,3.5014,3.9491
"ref[1]",-3.2092,0.0573,-3.3212,-3.248,-3.2092,-3.1712,-3.0962
"ref[2]",-1.6579,0.0801,-1.8142,-1.7117,-1.6579,-1.6046,-1.5012
"ref[3]",-2.128,0.0661,-2.2579,-2.1724,-2.1283,-2.0829,-1.9999
"ref[4]",-1.6667,0.0815,-1.8247,-1.7219,-1.6672,-1.6118,-1.5061
"ref[5]",-2.6584,0.0727,-2.8009,-2.7072,-2.6586,-2.6091,-2.5185
"ref[6]",-1.2395,0.07,-1.3776,-1.287,-1.2383,-1.1925,-1.1021
"ref[7]",-2.3039,0.0806,-2.4605,-2.3591,-2.3042,-2.2496,-2.1437
"rr[1]",0.6076,0.0592,0.4943,0.5671,0.6071,0.6474,0.7242
"rr[2]",0.647,0.0584,0.5374,0.6075,0.646,0.6857,0.7639
"rr[3]",0.3419,0.079,0.1884,0.2889,0.3414,0.3961,0.4942
"rr[4]",0.4109,0.0514,0.3097,0.3764,0.4105,0.4448,0.5131
"rr[5]",0.3689,0.0635,0.2435,0.3261,0.3693,0.412,0.4931
"rr[6]",0.6497,0.061,0.5364,0.6072,0.648,0.6901,0.7728
"rr[7]",0.4625,0.0667,0.3356,0.4163,0.4621,0.507,0.5947
"rr_global",0.4843,0.0823,0.3315,0.435,0.4815,0.5288,0.6543
"sigma_a",0.4214,0.1781,0.1865,0.3,0.3848,0.5003,0.8796
"sigma_b1",0.3829,0.1715,0.1618,0.2669,0.3455,0.4578,0.8237
"sigma_x",0.7818,0.2509,0.4408,0.6052,0.7317,0.904,1.4112
"x[1]",4.6694,0.0887,4.4949,4.609,4.669,4.7286,4.8449
"x[2]",3.1676,0.1167,2.9363,3.089,3.1693,3.2462,3.3943
"x[3]",2.9963,0.0868,2.8268,2.9365,2.9961,3.0555,3.1661
"x[4]",3.0558,0.1165,2.8265,2.9769,3.0549,3.1343,3.2833
"x[5]",3.5745,0.0946,3.3889,3.51,3.5753,3.6391,3.7613
"x[6]",2.6053,0.0924,2.4257,2.5429,2.6051,2.6667,2.7844
"x[7]",3.1077,0.1108,2.8895,3.0338,3.1077,3.1818,3.3232
