"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.0785,0.3423,-3.8038,-3.2948,-3.0579,-2.8393,-2.4599
"a[2]",-2.0525,0.2013,-2.4657,-2.184,-2.0475,-1.9123,-1.678
"a[3]",-2.9198,0.2959,-3.5478,-3.1082,-2.9032,-2.7179,-2.3845
"a[4]",-1.3808,0.1392,-1.6612,-1.4734,-1.3775,-1.2859,-1.1184
"a[5]",-2.5809,0.2545,-3.1041,-2.7461,-2.572,-2.4063,-2.1048
"a[6]",-2.1998,0.2055,-2.6132,-2.3352,-2.1943,-2.0565,-1.816
"a[7]",-2.3829,0.2268,-2.843,-2.5329,-2.3761,-2.2262,-1.9565
"b1[1]",-0.8003,0.1463,-1.1079,-0.8898,-0.794,-0.7009,-0.5281
"b1[2]",-0.5912,0.0898,-0.7693,-0.651,-0.5909,-0.5306,-0.414
"b1[3]",-0.8607,0.1407,-1.1497,-0.9512,-0.8562,-0.7671,-0.5867
"b1[4]",-1.1346,0.122,-1.3894,-1.2137,-1.1265,-1.0502,-0.9134
"b1[5]",-0.7595,0.1143,-0.99,-0.8342,-0.7579,-0.6821,-0.5402
"b1[6]",-0.806,0.1092,-1.0237,-0.8789,-0.8045,-0.7323,-0.5941
"b1[7]",-0.8138,0.1113,-1.0369,-0.8864,-0.8099,-0.7399,-0.5995
"mu_a",-2.3724,0.3076,-3.0036,-2.5566,-2.3633,-2.186,-1.7727
"mu_b1",-0.8255,0.1152,-1.0635,-0.8921,-0.8224,-0.7575,-0.6009
"mu_x",3.3152,0.3161,2.6844,3.1266,3.3162,3.5034,3.9654
"ref[1]",-3.2097,0.0574,-3.3233,-3.2481,-3.2097,-3.1717,-3.0963
"ref[2]",-1.6536,0.0812,-1.8126,-1.7075,-1.6542,-1.5977,-1.4957
"ref[3]",-2.1224,0.0664,-2.2508,-2.1673,-2.1228,-2.077,-1.993
"ref[4]",-1.6793,0.0801,-1.8361,-1.7332,-1.68,-1.6241,-1.524
"ref[5]",-2.6524,0.0722,-2.7943,-2.7012,-2.6517,-2.6042,-2.5117
"ref[6]",-1.2441,0.0703,-1.3807,-1.2915,-1.2447,-1.1963,-1.1061
"ref[7]",-2.3046,0.0805,-2.463,-2.3582,-2.3056,-2.2505,-2.1473
"rr[1]",0.454,0.0654,0.3302,0.4107,0.4521,0.4961,0.5897
"rr[2]",0.5559,0.0499,0.4633,0.5215,0.5538,0.5882,0.661
"rr[3]",0.427,0.0601,0.3167,0.3863,0.4248,0.4643,0.5562
"rr[4]",0.3239,0.0389,0.2492,0.2971,0.3242,0.3499,0.4012
"rr[5]",0.471,0.0537,0.3716,0.4342,0.4686,0.5055,0.5826
"rr[6]",0.4493,0.0491,0.3593,0.4153,0.4473,0.4808,0.5521
"rr[7]",0.4459,0.0494,0.3546,0.4121,0.4449,0.4772,0.5491
"rr_global",0.4409,0.0515,0.3452,0.4098,0.4394,0.4689,0.5483
"sigma_a",0.7236,0.261,0.3654,0.5415,0.6742,0.8538,1.373
"sigma_b1",0.2468,0.1157,0.0961,0.169,0.2229,0.2963,0.5459
"sigma_x",0.7791,0.2504,0.439,0.6027,0.7276,0.899,1.3947
"x[1]",4.6705,0.089,4.4943,4.611,4.6701,4.7301,4.8458
"x[2]",3.1598,0.1157,2.9366,3.0799,3.159,3.2378,3.3841
"x[3]",2.9866,0.0873,2.8172,2.9282,2.9865,3.0456,3.1564
"x[4]",3.084,0.1163,2.8574,3.0052,3.0858,3.1612,3.3111
"x[5]",3.564,0.0949,3.3745,3.5007,3.5636,3.6282,3.7519
"x[6]",2.611,0.0921,2.4304,2.5488,2.6103,2.6729,2.7935
"x[7]",3.1086,0.1106,2.8934,3.0332,3.109,3.1817,3.3291
