"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.1754,0.3549,-3.9338,-3.3997,-3.1561,-2.9256,-2.5434
"a[2]",-2.0664,0.1993,-2.4697,-2.1975,-2.06,-1.9292,-1.6921
"a[3]",-2.9096,0.297,-3.5282,-3.1019,-2.8975,-2.7036,-2.3629
"a[4]",-1.3638,0.1359,-1.6379,-1.4533,-1.3592,-1.2685,-1.1052
"a[5]",-2.6127,0.2561,-3.1413,-2.7819,-2.602,-2.4364,-2.1406
"a[6]",-2.1699,0.2064,-2.592,-2.305,-2.1636,-2.0261,-1.7851
"a[7]",-2.3826,0.2289,-2.8519,-2.5326,-2.3775,-2.2245,-1.9502
"b1[1]",-0.972,0.2718,-1.6275,-1.115,-0.9268,-0.7803,-0.5725
"b1[2]",-0.7069,0.2329,-1.26,-0.8359,-0.6658,-0.5363,-0.3733
"b1[3]",-0.8763,0.2437,-1.4555,-1.0082,-0.84,-0.7055,-0.5004
"b1[4]",-1.0634,0.2706,-1.714,-1.2094,-1.0198,-0.8709,-0.6653
"b1[5]",-0.8654,0.2346,-1.4213,-0.9936,-0.828,-0.6999,-0.5128
"b1[6]",-0.7867,0.2245,-1.332,-0.9057,-0.7514,-0.6276,-0.4523
"b1[7]",-0.8535,0.232,-1.4115,-0.9757,-0.8151,-0.691,-0.5074
"mu_a",-2.3855,0.3168,-3.04,-2.5703,-2.3755,-2.1889,-1.779
"mu_b1",-0.875,0.2209,-1.3909,-0.998,-0.8417,-0.7201,-0.5363
"mu_x",3.1791,0.6704,1.9199,2.702,3.1755,3.6341,4.5387
"ref[1]",-2.6569,0.8145,-4.2625,-3.2042,-2.6549,-2.0886,-1.0802
"ref[2]",-1.4672,1.0562,-3.5507,-2.1631,-1.4576,-0.7712,0.6048
"ref[3]",-2.2081,0.8388,-3.8743,-2.7601,-2.1978,-1.6452,-0.6095
"ref[4]",-1.9105,1.0672,-3.9804,-2.637,-1.9148,-1.1891,0.2049
"ref[5]",-2.4108,0.9118,-4.2159,-3.0206,-2.4135,-1.7955,-0.6377
"ref[6]",-1.4453,0.882,-3.1854,-2.033,-1.4546,-0.8501,0.2812
"ref[7]",-2.3213,1.0235,-4.3504,-3.0012,-2.321,-1.6318,-0.3352
"rr[1]",0.3913,0.0947,0.1964,0.3279,0.3958,0.4583,0.5641
"rr[2]",0.5057,0.1066,0.2837,0.4335,0.5138,0.5849,0.6885
"rr[3]",0.4279,0.0946,0.2333,0.3649,0.4317,0.4939,0.6063
"rr[4]",0.3571,0.0865,0.1802,0.2984,0.3607,0.4186,0.5141
"rr[5]",0.4318,0.0921,0.2414,0.3702,0.4369,0.4966,0.5988
"rr[6]",0.4662,0.0956,0.264,0.4043,0.4717,0.5339,0.6361
"rr[7]",0.4366,0.0918,0.2438,0.3769,0.4426,0.5011,0.6021
"rr_global",0.4265,0.0881,0.2488,0.3686,0.431,0.4867,0.5849
"sigma_a",0.7436,0.2598,0.3763,0.5593,0.6957,0.8723,1.3951
"sigma_b1",0.2183,0.1512,0.0159,0.1193,0.1916,0.2827,0.5934
"sigma_x",0.5279,0.3691,0.0265,0.2381,0.4757,0.7367,1.3953
"x[1]",3.4798,0.7953,2.073,2.9176,3.4289,3.963,5.1903
"x[2]",2.84,0.8021,1.3881,2.2547,2.819,3.3914,4.4758
"x[3]",3.1365,0.7292,1.7883,2.6222,3.1157,3.625,4.6119
"x[4]",3.5476,0.8038,2.1302,2.9838,3.4929,4.0546,5.2743
"x[5]",3.1898,0.7308,1.8546,2.6692,3.1705,3.6869,4.6793
"x[6]",2.9316,0.7342,1.6094,2.3976,2.9151,3.4205,4.4556
"x[7]",3.1252,0.7368,1.7798,2.6061,3.1125,3.6126,4.6332
