"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-3.2821,0.6624,-4.8003,-3.6772,-3.2019,-2.816,-2.2136
"a[2]",-1.5081,0.2238,-1.9654,-1.6578,-1.4999,-1.3521,-1.0934
"a[3]",-2.7678,0.445,-3.7342,-3.0408,-2.7366,-2.4573,-1.9876
"a[4]",-1.3841,0.2087,-1.8102,-1.5235,-1.3761,-1.2372,-0.9993
"a[5]",-2.2357,0.34,-2.959,-2.4499,-2.2187,-1.9934,-1.6295
"a[6]",-1.8752,0.2698,-2.4328,-2.0505,-1.8627,-1.6889,-1.3743
"a[7]",-2.1232,0.3081,-2.7644,-2.3226,-2.1097,-1.908,-1.5625
"b1[1]",-0.7475,0.364,-1.6995,-0.8675,-0.6723,-0.5342,-0.2677
"b1[2]",-0.7069,0.1893,-1.1507,-0.8118,-0.6815,-0.5777,-0.4027
"b1[3]",-0.8168,0.3721,-1.7664,-0.9591,-0.724,-0.5798,-0.3496
"b1[4]",-0.7424,0.1972,-1.2106,-0.8527,-0.7121,-0.6039,-0.4358
"b1[5]",-0.4193,0.1792,-0.7371,-0.5488,-0.4298,-0.2963,-0.0507
"b1[6]",-0.5221,0.1688,-0.8536,-0.6311,-0.5278,-0.418,-0.1752
"b1[7]",-0.5439,0.1782,-0.9075,-0.6556,-0.5458,-0.4322,-0.1882
"mu_a",-2.1699,0.373,-2.9898,-2.38,-2.1462,-1.9376,-1.4804
"mu_b1",-0.6448,0.1839,-1.08,-0.7271,-0.6221,-0.5336,-0.356
"mu_x",3.3127,0.3133,2.6881,3.1208,3.3134,3.5058,3.937
"ref[1]",-3.21,0.0566,-3.3229,-3.2484,-3.2088,-3.1722,-3.0998
"ref[2]",-1.6604,0.0812,-1.8176,-1.7157,-1.6609,-1.605,-1.5012
"ref[3]",-2.1253,0.0663,-2.2565,-2.1705,-2.125,-2.0796,-1.9972
"ref[4]",-1.6663,0.0807,-1.8235,-1.7211,-1.6659,-1.6114,-1.5092
"ref[5]",-2.6526,0.074,-2.7979,-2.702,-2.6528,-2.6024,-2.5087
"ref[6]",-1.2428,0.0715,-1.3835,-1.2913,-1.242,-1.1943,-1.1042
"ref[7]",-2.3022,0.0803,-2.4594,-2.357,-2.3019,-2.2475,-2.1461
"rr[1]",0.4991,0.1408,0.1828,0.42,0.5105,0.5862,0.7652
"rr[2]",0.5017,0.0892,0.3164,0.4441,0.5059,0.5612,0.6685
"rr[3]",0.4674,0.1357,0.171,0.3832,0.4848,0.56,0.705
"rr[4]",0.4848,0.0889,0.298,0.4263,0.4906,0.5467,0.6467
"rr[5]",0.6683,0.1227,0.4785,0.5777,0.6506,0.7436,0.9506
"rr[6]",0.6018,0.1034,0.4259,0.532,0.5899,0.6584,0.8393
"rr[7]",0.5897,0.1055,0.4035,0.5191,0.5794,0.6491,0.8285
"rr_global",0.5331,0.0905,0.3396,0.4833,0.5368,0.5865,0.7004
"sigma_a",0.8398,0.3333,0.3475,0.6008,0.7848,1.0212,1.6443
"sigma_b1",0.2785,0.2246,0.0124,0.1209,0.2303,0.3775,0.8536
"sigma_x",0.7768,0.2515,0.4365,0.6007,0.7266,0.8982,1.4015
"x[1]",4.6722,0.087,4.5013,4.6139,4.6717,4.7301,4.8432
"x[2]",3.176,0.1161,2.9445,3.0992,3.1755,3.2544,3.4041
"x[3]",2.9918,0.0877,2.821,2.9315,2.9917,3.0518,3.1627
"x[4]",3.0574,0.1151,2.8319,2.9791,3.0582,3.1356,3.2832
"x[5]",3.5643,0.0962,3.3763,3.5,3.5648,3.6299,3.7503
"x[6]",2.6091,0.0925,2.4291,2.5462,2.6095,2.6702,2.7901
"x[7]",3.1035,0.1115,2.8828,3.029,3.1048,3.1795,3.3188
