"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-1.9093,0.1983,-2.3058,-2.042,-1.9034,-1.7727,-1.5377
"a[2]",-2.1103,0.2219,-2.5609,-2.2543,-2.1056,-1.9581,-1.6953
"a[3]",-3.1332,0.4003,-3.97,-3.3904,-3.1139,-2.853,-2.4078
"a[4]",-1.4411,0.1503,-1.7462,-1.5414,-1.4363,-1.3388,-1.1543
"a[5]",-1.3071,0.1371,-1.5832,-1.3993,-1.3047,-1.2129,-1.0451
"b1[1]",-0.5713,0.0754,-0.7242,-0.6212,-0.5701,-0.5204,-0.4283
"b1[2]",-0.2054,0.0731,-0.3438,-0.2556,-0.206,-0.1569,-0.0592
"b1[3]",-1.2633,0.3223,-1.9298,-1.4763,-1.251,-1.04,-0.6643
"b1[4]",-0.6373,0.0634,-0.7647,-0.679,-0.6358,-0.5947,-0.5162
"b1[5]",-0.9695,0.1173,-1.2058,-1.0483,-0.9685,-0.8911,-0.741
"mu_a",-1.9758,0.4322,-2.8507,-2.2275,-1.9691,-1.7197,-1.1168
"mu_b1",-0.7267,0.2938,-1.3344,-0.8797,-0.7174,-0.5663,-0.1545
"mu_x",3.0122,0.5853,1.8559,2.6504,3.0095,3.3664,4.2022
"ref[1]",-3.4923,0.103,-3.6954,-3.5612,-3.4916,-3.4236,-3.2934
"ref[2]",-2.9899,0.1039,-3.1946,-3.0601,-2.9902,-2.9194,-2.7865
"ref[3]",-1.4787,0.0663,-1.6097,-1.5241,-1.4787,-1.4335,-1.3511
"ref[4]",-3.2146,0.0569,-3.3237,-3.2525,-3.2152,-3.1761,-3.1025
"ref[5]",-0.4493,0.0518,-0.5506,-0.4839,-0.4494,-0.4148,-0.3475
"rr[1]",0.5664,0.0426,0.4847,0.5373,0.5655,0.5943,0.6516
"rr[2]",0.8165,0.06,0.7091,0.7744,0.8138,0.8548,0.9425
"rr[3]",0.2974,0.0949,0.1452,0.2285,0.2862,0.3535,0.5146
"rr[4]",0.5298,0.0335,0.4655,0.5071,0.5295,0.5517,0.5968
"rr[5]",0.3819,0.0448,0.2995,0.3505,0.3797,0.4102,0.4766
"rr_global",0.505,0.1646,0.2633,0.4149,0.488,0.5676,0.8568
"sigma_a",0.8821,0.3481,0.3939,0.6344,0.817,1.0596,1.7451
"sigma_b1",0.5615,0.2739,0.2181,0.3717,0.4999,0.6817,1.2638
"sigma_x",1.2684,0.3736,0.7218,0.9994,1.2065,1.4621,2.16
"x[1]",4.0926,0.1171,3.8624,4.0152,4.0909,4.1713,4.3276
"x[2]",3.4259,0.116,3.1984,3.3483,3.4249,3.5053,3.6522
"x[3]",1.7723,0.0892,1.5968,1.7117,1.7721,1.8339,1.9457
"x[4]",4.1635,0.0735,4.0181,4.1147,4.1635,4.2133,4.3037
"x[5]",1.6339,0.0706,1.4949,1.5869,1.634,1.6813,1.7726
