"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-1.9339,0.1977,-2.3353,-2.0654,-1.9315,-1.7968,-1.5719
"a[2]",-2.0718,0.2183,-2.5107,-2.2156,-2.0678,-1.9208,-1.6613
"a[3]",-3.0292,0.3782,-3.8371,-3.2704,-3.004,-2.764,-2.3504
"a[4]",-1.4579,0.152,-1.7646,-1.5584,-1.4544,-1.3524,-1.1694
"a[5]",-1.2932,0.1354,-1.5678,-1.3821,-1.2899,-1.2007,-1.0402
"b1[1]",-0.9207,0.3461,-1.8081,-1.069,-0.85,-0.6849,-0.4692
"b1[2]",-0.4891,0.3517,-1.4344,-0.6339,-0.3819,-0.2485,-0.1019
"b1[3]",-1.0196,0.3978,-2.0198,-1.1953,-0.9366,-0.7514,-0.4909
"b1[4]",-0.9746,0.3355,-1.8766,-1.1239,-0.9025,-0.7453,-0.5365
"b1[5]",-0.7942,0.3075,-1.6138,-0.9234,-0.726,-0.5839,-0.4113
"mu_a",-1.9642,0.4176,-2.8446,-2.1981,-1.9525,-1.7161,-1.1494
"mu_b1",-0.8397,0.3452,-1.7059,-0.9986,-0.783,-0.6156,-0.325
"mu_x",2.5356,0.7573,1.1071,2.008,2.5248,3.0294,4.0784
"ref[1]",-2.4646,1.0623,-4.6036,-3.1737,-2.4503,-1.7449,-0.4216
"ref[2]",-1.9261,1.1104,-4.1471,-2.6576,-1.9182,-1.1655,0.1573
"ref[3]",-1.9421,0.8726,-3.6415,-2.5267,-1.9361,-1.3587,-0.2435
"ref[4]",-2.5074,0.7855,-4.0742,-3.0385,-2.4951,-1.9716,-0.9855
"ref[5]",-0.7841,0.7048,-2.1697,-1.248,-0.7801,-0.307,0.6102
"rr[1]",0.419,0.1183,0.164,0.3433,0.4274,0.5041,0.6255
"rr[2]",0.6452,0.1765,0.2383,0.5305,0.6825,0.78,0.9031
"rr[3]",0.3852,0.1231,0.1327,0.3026,0.392,0.4717,0.6121
"rr[4]",0.396,0.1097,0.1531,0.325,0.4055,0.4746,0.5848
"rr[5]",0.4706,0.1184,0.1991,0.3972,0.4838,0.5577,0.6628
"rr_global",0.4554,0.1404,0.1816,0.3684,0.457,0.5403,0.7225
"sigma_a",0.8388,0.3389,0.3642,0.5992,0.7727,1.0064,1.6916
"sigma_b1",0.3875,0.2714,0.0247,0.2046,0.3358,0.5061,1.096
"sigma_x",0.6745,0.4625,0.0322,0.3147,0.6135,0.9483,1.7624
"x[1]",2.7488,0.8658,1.2389,2.1405,2.6799,3.274,4.6523
"x[2]",2.0906,1.0076,0.4185,1.2916,2.0723,2.7891,4.0807
"x[3]",2.6105,0.7737,1.228,2.0578,2.5673,3.1138,4.2207
"x[4]",2.926,0.8415,1.409,2.3308,2.8711,3.4617,4.697
"x[5]",2.2584,0.7117,0.9885,1.7428,2.2161,2.7324,3.7581
