"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-2.1328,0.3574,-2.9017,-2.3549,-2.1012,-1.8804,-1.5072
"a[2]",-2.0726,0.3557,-2.8509,-2.2874,-2.0432,-1.829,-1.446
"a[3]",-2.4829,0.4823,-3.5415,-2.7834,-2.4455,-2.126,-1.6874
"a[4]",-1.6736,0.2731,-2.2135,-1.8551,-1.6724,-1.4853,-1.1522
"a[5]",-1.4384,0.2508,-1.9434,-1.6077,-1.4308,-1.2645,-0.9629
"b1[1]",-0.6885,0.1975,-1.1155,-0.8077,-0.6784,-0.5544,-0.3339
"b1[2]",-0.4891,0.1703,-0.8211,-0.6032,-0.4885,-0.3735,-0.1583
"b1[3]",-1.5546,0.739,-3.3761,-1.9024,-1.4158,-1.0263,-0.6094
"b1[4]",-0.9251,0.2564,-1.531,-1.0679,-0.8854,-0.7437,-0.5321
"b1[5]",-0.7945,0.2086,-1.2207,-0.9298,-0.7877,-0.6552,-0.3952
"mu_a",-1.96,0.3664,-2.7546,-2.1634,-1.9401,-1.7397,-1.2823
"mu_b1",-0.8896,0.3629,-1.7383,-1.0535,-0.8404,-0.6806,-0.2949
"mu_x",3.0152,0.594,1.8107,2.6554,3.0172,3.3754,4.2159
"ref[1]",-3.4944,0.1019,-3.6942,-3.5634,-3.4942,-3.4252,-3.2963
"ref[2]",-2.9851,0.1026,-3.1871,-3.0544,-2.9851,-2.917,-2.7831
"ref[3]",-1.4818,0.0675,-1.6134,-1.5279,-1.4821,-1.436,-1.3498
"ref[4]",-3.2156,0.0568,-3.3261,-3.2536,-3.2152,-3.1771,-3.1045
"ref[5]",-0.4477,0.0514,-0.5487,-0.4821,-0.4476,-0.4138,-0.345
"rr[1]",0.512,0.0982,0.3277,0.4459,0.5074,0.5744,0.7161
"rr[2]",0.6221,0.1068,0.44,0.5471,0.6135,0.6883,0.8536
"rr[3]",0.2588,0.1405,0.0342,0.1492,0.2427,0.3583,0.5437
"rr[4]",0.4088,0.0956,0.2163,0.3437,0.4125,0.4753,0.5873
"rr[5]",0.4616,0.0962,0.295,0.3946,0.4549,0.5194,0.6736
"rr_global",0.437,0.1683,0.1758,0.3487,0.4315,0.5063,0.7446
"sigma_a",0.625,0.3471,0.0957,0.3835,0.5691,0.798,1.4649
"sigma_b1",0.5695,0.3891,0.0505,0.2927,0.4846,0.7566,1.5461
"sigma_x",1.2678,0.3736,0.7311,0.9987,1.2047,1.4621,2.1893
"x[1]",4.0948,0.1153,3.8691,4.017,4.096,4.1733,4.3186
"x[2]",3.4208,0.1146,3.1943,3.3448,3.4204,3.4987,3.6443
"x[3]",1.7773,0.0899,1.6008,1.7167,1.7782,1.8386,1.9518
"x[4]",4.1653,0.0748,4.0161,4.1156,4.1653,4.2153,4.312
"x[5]",1.6306,0.0707,1.4937,1.5827,1.6306,1.6784,1.77
