"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-1.9075,0.1975,-2.3126,-2.037,-1.9,-1.7722,-1.5422
"a[2]",-2.1235,0.2218,-2.5845,-2.2686,-2.1164,-1.9704,-1.7067
"a[3]",-2.9759,0.3757,-3.7778,-3.2157,-2.957,-2.7126,-2.3016
"a[4]",-1.4425,0.1512,-1.7493,-1.5426,-1.4378,-1.3387,-1.1567
"a[5]",-1.3414,0.1399,-1.6213,-1.4342,-1.3392,-1.2448,-1.0795
"b1[1]",-0.3964,0.0528,-0.5019,-0.4313,-0.396,-0.36,-0.2933
"b1[2]",-0.1864,0.0678,-0.3153,-0.2323,-0.1884,-0.1418,-0.0507
"b1[3]",-1.1792,0.2697,-1.7391,-1.3509,-1.1689,-0.9955,-0.6735
"b1[4]",-0.5166,0.0537,-0.6254,-0.5522,-0.5156,-0.4799,-0.4148
"b1[5]",-1.8112,0.3057,-2.4706,-2.0024,-1.7863,-1.5969,-1.2821
"mu_a",-1.9642,0.4181,-2.832,-2.1988,-1.9507,-1.7203,-1.1533
"mu_b1",-0.8173,0.4025,-1.6415,-1.0511,-0.8062,-0.5823,-0.0175
"mu_x",3.558,0.8083,1.926,3.0506,3.5573,4.0684,5.1573
"ref[1]",-3.9016,0.1027,-4.105,-3.9701,-3.9012,-3.8329,-3.6971
"ref[2]",-3.2099,0.1294,-3.462,-3.2975,-3.2112,-3.1233,-2.9572
"ref[3]",-0.4555,0.1304,-0.7084,-0.5437,-0.4543,-0.366,-0.2011
"ref[4]",-3.2035,0.1292,-3.4594,-3.2917,-3.2038,-3.1145,-2.9511
"ref[5]",0.9506,0.0721,0.8114,0.9015,0.9507,0.9995,1.0932
"rr[1]",0.6737,0.0355,0.6054,0.6497,0.673,0.6977,0.7458
"rr[2]",0.8319,0.0567,0.7296,0.7927,0.8283,0.8678,0.9506
"rr[3]",0.3187,0.0851,0.1757,0.259,0.3107,0.3695,0.5099
"rr[4]",0.5974,0.032,0.535,0.5757,0.5971,0.6188,0.6604
"rr[5]",0.1709,0.0499,0.0845,0.135,0.1676,0.2025,0.2775
"rr_global",0.479,0.2129,0.1937,0.3496,0.4465,0.5586,0.9827
"sigma_a",0.8223,0.3435,0.3558,0.5789,0.7533,0.9885,1.6811
"sigma_b1",0.8264,0.3252,0.385,0.5971,0.7624,0.9878,1.6405
"sigma_x",1.7813,0.4202,1.115,1.4781,1.7252,2.0297,2.7621
"x[1]",5.9005,0.1374,5.6322,5.8095,5.9001,5.9932,6.1688
"x[2]",3.6769,0.1553,3.3718,3.5732,3.6759,3.7812,3.9778
"x[3]",2.2059,0.1682,1.876,2.093,2.2058,2.3204,2.5328
"x[4]",5.1412,0.1463,4.8563,5.0413,5.1405,5.2403,5.4282
"x[5]",0.8543,0.1012,0.659,0.7861,0.8534,0.9218,1.0543
