"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-1.9119,0.1969,-2.3166,-2.0402,-1.9047,-1.7782,-1.5435
"a[2]",-2.0613,0.219,-2.508,-2.2042,-2.052,-1.9121,-1.6527
"a[3]",-3.0369,0.3768,-3.8354,-3.2787,-3.0205,-2.7692,-2.3575
"a[4]",-1.4528,0.1508,-1.7583,-1.5528,-1.4498,-1.3503,-1.1679
"a[5]",-1.3096,0.1379,-1.5867,-1.4,-1.3071,-1.2155,-1.0455
"b1[1]",-0.6181,0.186,-1.0333,-0.7123,-0.5907,-0.4927,-0.3584
"b1[2]",-0.3546,0.2149,-0.871,-0.4722,-0.2959,-0.2003,-0.0828
"b1[3]",-0.7993,0.2824,-1.4801,-0.9214,-0.7456,-0.6121,-0.4286
"b1[4]",-0.7183,0.2094,-1.216,-0.8127,-0.6823,-0.5793,-0.4298
"b1[5]",-0.7423,0.2777,-1.4424,-0.845,-0.6793,-0.564,-0.407
"mu_a",-1.9568,0.4185,-2.8327,-2.1919,-1.946,-1.7152,-1.1277
"mu_b1",-0.6454,0.2378,-1.2022,-0.7539,-0.6178,-0.5068,-0.2516
"mu_x",3.2425,0.7858,1.7528,2.7229,3.2196,3.739,4.8361
"ref[1]",-2.8272,0.8483,-4.5447,-3.3863,-2.8124,-2.2458,-1.2253
"ref[2]",-2.521,1.0188,-4.5947,-3.2062,-2.5108,-1.8246,-0.5867
"ref[3]",-1.0629,0.942,-2.9307,-1.6957,-1.052,-0.4266,0.7571
"ref[4]",-2.228,0.9304,-4.1259,-2.8439,-2.2066,-1.5896,-0.4759
"ref[5]",0.2376,0.5986,-0.9309,-0.1586,0.242,0.6459,1.4028
"rr[1]",0.5474,0.0899,0.3558,0.4905,0.5539,0.611,0.6988
"rr[2]",0.7164,0.1363,0.4185,0.6236,0.7439,0.8185,0.9206
"rr[3]",0.4653,0.1092,0.2276,0.398,0.4745,0.5422,0.6514
"rr[4]",0.4972,0.0902,0.2964,0.4436,0.5054,0.5603,0.6506
"rr[5]",0.4915,0.1087,0.2364,0.4295,0.507,0.5689,0.6657
"rr_global",0.5387,0.1249,0.3005,0.4705,0.5391,0.6024,0.7776
"sigma_a",0.8425,0.3411,0.3735,0.6009,0.7762,1.0155,1.692
"sigma_b1",0.3301,0.2515,0.0221,0.1665,0.2735,0.423,0.9848
"sigma_x",1.0237,0.5188,0.077,0.6728,0.9956,1.3439,2.141
"x[1]",4.0139,0.9913,2.2769,3.3124,3.9392,4.6445,6.1261
"x[2]",2.6731,1.0957,0.8021,1.8132,2.6777,3.438,4.8625
"x[3]",3.2437,0.8485,1.6711,2.6783,3.2078,3.7843,5.0208
"x[4]",3.8737,0.9345,2.1744,3.227,3.809,4.4868,5.8379
"x[5]",2.3392,0.6794,1.0794,1.8632,2.3214,2.7962,3.7216
