"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-2.1021,0.3518,-2.881,-2.3147,-2.0666,-1.8549,-1.506
"a[2]",-2.0901,0.3484,-2.8746,-2.2975,-2.0561,-1.8439,-1.5044
"a[3]",-2.3012,0.4286,-3.2802,-2.5568,-2.2474,-1.9956,-1.6031
"a[4]",-1.6776,0.2653,-2.2006,-1.8547,-1.6764,-1.4977,-1.1662
"a[5]",-1.5485,0.2565,-2.0406,-1.7255,-1.551,-1.3744,-1.0483
"b1[1]",-0.4937,0.1561,-0.84,-0.5854,-0.48,-0.3856,-0.2272
"b1[2]",-0.4327,0.1544,-0.7417,-0.5347,-0.4312,-0.3296,-0.1345
"b1[3]",-1.7388,0.7519,-3.5865,-2.089,-1.5994,-1.2284,-0.701
"b1[4]",-0.8105,0.2335,-1.3446,-0.9393,-0.7766,-0.6456,-0.4477
"b1[5]",-1.3219,0.4527,-2.3108,-1.607,-1.2866,-1.0012,-0.5369
"mu_a",-1.9436,0.3277,-2.6547,-2.1227,-1.9218,-1.7431,-1.3447
"mu_b1",-0.9642,0.437,-1.9704,-1.1849,-0.9137,-0.6952,-0.2155
"mu_x",3.5586,0.8225,1.902,3.0367,3.5497,4.0679,5.2132
"ref[1]",-3.8982,0.1031,-4.1027,-3.9674,-3.8969,-3.8294,-3.6969
"ref[2]",-3.2091,0.1321,-3.4656,-3.2991,-3.2097,-3.1199,-2.9445
"ref[3]",-0.4729,0.1303,-0.7282,-0.5599,-0.4728,-0.387,-0.2181
"ref[4]",-3.2008,0.1297,-3.4582,-3.2873,-3.1998,-3.1139,-2.9442
"ref[5]",0.9648,0.0723,0.8218,0.9165,0.9649,1.0138,1.106
"rr[1]",0.6177,0.0931,0.4317,0.5569,0.6188,0.68,0.7967
"rr[2]",0.6565,0.1016,0.4763,0.5858,0.6497,0.7192,0.8741
"rr[3]",0.2175,0.1238,0.0277,0.1238,0.202,0.2928,0.4961
"rr[4]",0.4562,0.0984,0.2606,0.3909,0.46,0.5244,0.6391
"rr[5]",0.2934,0.1261,0.0992,0.2005,0.2762,0.3674,0.5846
"rr_global",0.4172,0.1949,0.1394,0.3058,0.401,0.499,0.8061
"sigma_a",0.5275,0.3261,0.0488,0.3013,0.4723,0.6949,1.3256
"sigma_b1",0.7455,0.4005,0.1851,0.4612,0.6664,0.9485,1.7292
"sigma_x",1.7843,0.417,1.1253,1.4826,1.7279,2.0283,2.743
"x[1]",5.8967,0.1366,5.6292,5.8049,5.895,5.9883,6.1683
"x[2]",3.6759,0.1579,3.3686,3.5681,3.6763,3.7833,3.9812
"x[3]",2.2355,0.1673,1.9083,2.1235,2.2359,2.3469,2.5628
"x[4]",5.1383,0.1473,4.8497,5.0399,5.1387,5.2348,5.4325
"x[5]",0.8273,0.1023,0.6283,0.7572,0.8265,0.8966,1.0263
