"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-1.9173,0.1974,-2.3133,-2.0485,-1.9123,-1.7828,-1.5431
"a[2]",-2.1371,0.227,-2.609,-2.2841,-2.1314,-1.9787,-1.7197
"a[3]",-2.9454,0.3682,-3.7341,-3.1776,-2.9254,-2.6881,-2.2868
"a[4]",-1.4448,0.1524,-1.7562,-1.5433,-1.4397,-1.3389,-1.1614
"a[5]",-1.3596,0.1417,-1.6446,-1.4522,-1.3576,-1.2622,-1.0921
"b1[1]",-0.4368,0.0575,-0.5505,-0.4749,-0.4359,-0.3988,-0.3246
"b1[2]",-0.211,0.0803,-0.3647,-0.2664,-0.2127,-0.1576,-0.049
"b1[3]",-1.5092,0.348,-2.239,-1.728,-1.4972,-1.2719,-0.8663
"b1[4]",-0.5892,0.0623,-0.7172,-0.6294,-0.5876,-0.5464,-0.4724
"b1[5]",-3.0828,0.6777,-4.6423,-3.4652,-2.998,-2.6045,-2.0149
"mu_a",-1.9642,0.3925,-2.7709,-2.1978,-1.9541,-1.7301,-1.1885
"mu_b1",-1.1733,0.6093,-2.4957,-1.5228,-1.1476,-0.7925,-0.0281
"mu_x",3.0519,0.7909,1.4993,2.5422,3.0442,3.5558,4.6573
"ref[1]",-3.912,0.001,-3.914,-3.9127,-3.912,-3.9114,-3.91
"ref[2]",-2.9919,0.1033,-3.1959,-3.0612,-2.992,-2.9228,-2.7853
"ref[3]",-0.2412,0.1146,-0.4666,-0.3186,-0.241,-0.1622,-0.0184
"ref[4]",-3.2048,0.1312,-3.4588,-3.2943,-3.2051,-3.117,-2.9443
"ref[5]",0.8517,0.0683,0.7148,0.8051,0.8531,0.8984,0.985
"rr[1]",0.6472,0.0372,0.5767,0.622,0.6467,0.6712,0.7228
"rr[2]",0.8124,0.0656,0.6944,0.7661,0.8084,0.8542,0.9522
"rr[3]",0.2344,0.0805,0.1066,0.1776,0.2237,0.2803,0.4205
"rr[4]",0.5559,0.0345,0.4881,0.5329,0.5557,0.579,0.6235
"rr[5]",0.0557,0.0328,0.0096,0.0313,0.0499,0.0739,0.1333
"rr_global",0.3711,0.2629,0.0824,0.2181,0.3174,0.4527,0.9723
"sigma_a",0.7985,0.325,0.3453,0.565,0.733,0.9634,1.6033
"sigma_b1",1.2334,0.4127,0.6151,0.9342,1.1675,1.4702,2.2192
"sigma_x",1.7203,0.4176,1.0785,1.4153,1.6645,1.9627,2.6818
"x[1]",5.3226,0.0928,5.1433,5.2591,5.3233,5.3866,5.5035
"x[2]",3.1717,0.1399,2.8995,3.0771,3.1714,3.267,3.4457
"x[3]",1.7648,0.1392,1.4984,1.6685,1.765,1.8603,2.0346
"x[4]",4.5002,0.1551,4.1943,4.3962,4.4998,4.6051,4.8021
"x[5]",0.5008,0.0889,0.3316,0.4401,0.4985,0.5588,0.6816
