"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-1.9032,0.1959,-2.3032,-2.0321,-1.8976,-1.7697,-1.541
"a[2]",-2.0698,0.2229,-2.5331,-2.2156,-2.0608,-1.9159,-1.6576
"a[3]",-3.0424,0.3815,-3.8515,-3.2874,-3.021,-2.7764,-2.3645
"a[4]",-1.455,0.1504,-1.7575,-1.5554,-1.4527,-1.3516,-1.1705
"a[5]",-1.3153,0.1387,-1.5978,-1.4078,-1.3119,-1.2206,-1.053
"b1[1]",-0.5733,0.1362,-0.9001,-0.6459,-0.5545,-0.4779,-0.3624
"b1[2]",-0.381,0.2364,-0.9596,-0.5012,-0.3192,-0.2148,-0.084
"b1[3]",-0.9188,0.3627,-1.8251,-1.0649,-0.8401,-0.6814,-0.4667
"b1[4]",-0.768,0.219,-1.3177,-0.8752,-0.7297,-0.6156,-0.4654
"b1[5]",-0.8957,0.3628,-1.8419,-1.0247,-0.8076,-0.659,-0.4784
"mu_a",-1.9578,0.4197,-2.831,-2.1964,-1.9507,-1.7118,-1.1213
"mu_b1",-0.7093,0.2777,-1.3697,-0.828,-0.6727,-0.5496,-0.2467
"mu_x",3.0266,0.7337,1.5911,2.5481,3.0231,3.501,4.5057
"ref[1]",-3.9119,0.0091,-3.9296,-3.9181,-3.912,-3.9056,-3.8943
"ref[2]",-2.595,0.8366,-4.2678,-3.1595,-2.5842,-2.0125,-1.0166
"ref[3]",-0.9851,0.7918,-2.541,-1.5087,-0.9952,-0.4462,0.5473
"ref[4]",-2.5699,0.8993,-4.4204,-3.1645,-2.5489,-1.9516,-0.8574
"ref[5]",0.0913,0.5723,-1.0334,-0.2983,0.0955,0.4787,1.2262
"rr[1]",0.5687,0.073,0.4065,0.5242,0.5744,0.6201,0.696
"rr[2]",0.7004,0.1428,0.3831,0.6058,0.7267,0.8067,0.9195
"rr[3]",0.4208,0.1193,0.1612,0.3448,0.4317,0.5059,0.6271
"rr[4]",0.4742,0.0922,0.2678,0.4168,0.482,0.5403,0.6279
"rr[5]",0.4304,0.1191,0.1585,0.3589,0.4459,0.5173,0.6198
"rr_global",0.5098,0.1362,0.2542,0.4369,0.5104,0.5772,0.7814
"sigma_a",0.8404,0.3389,0.3715,0.5994,0.7763,1.0096,1.6689
"sigma_b1",0.3987,0.2909,0.0369,0.2027,0.3304,0.5155,1.1618
"sigma_x",1.1639,0.4641,0.357,0.8442,1.119,1.4418,2.192
"x[1]",4.258,0.806,2.7191,3.7051,4.2534,4.7898,5.8972
"x[2]",2.4464,1.0108,0.7127,1.6617,2.4126,3.1762,4.4711
"x[3]",2.84,0.7769,1.362,2.3014,2.8435,3.3638,4.3768
"x[4]",3.6294,0.8923,1.9873,3.0151,3.5768,4.2006,5.4986
"x[5]",1.9548,0.6103,0.8465,1.5229,1.9291,2.3645,3.2131
