"","Mean","SD","2.5%","25%","50%","75%","97.5%"
"a[1]",-2.1012,0.3394,-2.8689,-2.3041,-2.0672,-1.8621,-1.5314
"a[2]",-2.0899,0.3408,-2.8609,-2.2865,-2.0517,-1.8567,-1.5153
"a[3]",-2.2694,0.4138,-3.2286,-2.51,-2.2114,-1.9698,-1.6131
"a[4]",-1.7017,0.2699,-2.2347,-1.8812,-1.7049,-1.5227,-1.1698
"a[5]",-1.6316,0.2643,-2.129,-1.8158,-1.638,-1.4486,-1.1038
"b1[1]",-0.5395,0.1692,-0.925,-0.6396,-0.5239,-0.4231,-0.2512
"b1[2]",-0.4984,0.1757,-0.8492,-0.6152,-0.498,-0.3822,-0.1545
"b1[3]",-2.314,0.9835,-4.7339,-2.797,-2.131,-1.6347,-0.931
"b1[4]",-0.9376,0.2847,-1.6181,-1.0931,-0.8981,-0.7372,-0.5003
"b1[5]",-2.1038,0.8466,-3.9922,-2.6157,-2.0167,-1.4983,-0.69
"mu_a",-1.9607,0.3253,-2.6831,-2.1274,-1.9358,-1.7698,-1.366
"mu_b1",-1.2738,0.5927,-2.6294,-1.5946,-1.2027,-0.8865,-0.2912
"mu_x",3.0496,0.7984,1.4587,2.5475,3.0518,3.558,4.6325
"ref[1]",-3.912,0.001,-3.914,-3.9127,-3.912,-3.9113,-3.91
"ref[2]",-2.9897,0.1037,-3.1933,-3.0578,-2.9899,-2.921,-2.7839
"ref[3]",-0.2586,0.1152,-0.4853,-0.3375,-0.2586,-0.1801,-0.0369
"ref[4]",-3.203,0.1295,-3.4554,-3.2909,-3.2023,-3.115,-2.9507
"ref[5]",0.8753,0.0705,0.7368,0.8284,0.8752,0.9224,1.0147
"rr[1]",0.5912,0.0963,0.3965,0.5275,0.5922,0.655,0.7779
"rr[2]",0.617,0.1093,0.4278,0.5405,0.6077,0.6823,0.8568
"rr[3]",0.1402,0.1035,0.0088,0.061,0.1187,0.195,0.3942
"rr[4]",0.4065,0.1047,0.1983,0.3352,0.4073,0.4784,0.6063
"rr[5]",0.1657,0.1277,0.0185,0.0731,0.1331,0.2235,0.5016
"rr_global",0.3279,0.2021,0.0721,0.203,0.3004,0.4121,0.7474
"sigma_a",0.4816,0.3269,0.0315,0.2495,0.4232,0.6467,1.2896
"sigma_b1",1.0196,0.4723,0.2852,0.679,0.9542,1.2895,2.1393
"sigma_x",1.7341,0.4167,1.0947,1.4307,1.6798,1.9693,2.6894
"x[1]",5.3235,0.0928,5.144,5.2609,5.3239,5.386,5.5065
"x[2]",3.1657,0.1407,2.8883,3.0711,3.1658,3.2596,3.4476
"x[3]",1.7891,0.1389,1.5123,1.696,1.7881,1.8819,2.0659
"x[4]",4.4976,0.1524,4.2028,4.3934,4.4967,4.601,4.7947
"x[5]",0.4531,0.0954,0.2673,0.3896,0.452,0.5167,0.6443
